lr_id,source,target,18321_a,24774_d,54023_b,56784_c,comparability,n_ir_tested,n_aih_tested,n_ir_notNA,n_aih_notNA,irHep_mean,AIH_mean,irHep_min,irHep_max,AIH_min,AIH_max,log2FC,is_strict_eligible,coherent_strict_irHep,coherent_strict_AIH,coherent_strict,enriched_strict
VEGF,CD8+ T cell 3,Macrophage 1,1.67593158084801e-05,1.59679744133292e-05,1.14169451251664e-05,7.47684055152699e-06,all4,2,2,2,2,1.63636451109046e-05,9.44689283834671e-06,1.59679744133292e-05,1.67593158084801e-05,7.47684055152699e-06,1.14169451251664e-05,0.786822024752369,TRUE,TRUE,FALSE,TRUE,irHepatitis
FN1,Hepatocyte 4,Macrophage 2,0.000118621112609439,8.52986499612027e-05,5.10187946440636e-05,6.71305121219038e-05,all4,2,2,2,2,0.000101959881285321,5.90746533829837e-05,8.52986499612027e-05,0.000118621112609439,5.10187946440636e-05,6.71305121219038e-05,0.786468039686062,TRUE,TRUE,FALSE,TRUE,irHepatitis
FN1,Stellate cell,Macrophage 2,7.10358086522477e-05,6.75782409914029e-05,4.1449965035294e-05,3.88649064084345e-05,all4,2,2,2,2,6.93070248218253e-05,4.01574357218642e-05,6.75782409914029e-05,7.10358086522477e-05,3.88649064084345e-05,4.1449965035294e-05,0.785978366903088,TRUE,TRUE,FALSE,TRUE,irHepatitis
FN1,CD4+ T cell,Macrophage 1,2.55081964342545e-05,1.57728544843605e-05,1.18778568169342e-05,1.20027417028893e-05,all4,2,2,2,2,2.06405254593075e-05,1.19402992599118e-05,1.57728544843605e-05,2.55081964342545e-05,1.18778568169342e-05,1.20027417028893e-05,0.785088906714536,TRUE,TRUE,FALSE,TRUE,irHepatitis
FN1,Hepatocyte 4,Sinusoidal endothelial cell,0.000158444010016832,0.000256185289162115,0.000125806804227752,0.000114940707630672,all4,2,2,2,2,0.000207314649589473,0.000120373755929212,0.000158444010016832,0.000256185289162115,0.000114940707630672,0.000125806804227752,0.783849564433013,TRUE,TRUE,FALSE,TRUE,irHepatitis
FN1,Hepatocyte 3,Cholangiocyte,6.02852141791971e-05,7.87380425712974e-05,3.01812836797941e-05,5.05688080327884e-05,all4,2,2,2,2,6.95116283752472e-05,4.03750458562913e-05,6.02852141791971e-05,7.87380425712974e-05,3.01812836797941e-05,5.05688080327884e-05,0.782446238181871,TRUE,TRUE,FALSE,TRUE,irHepatitis
CCL,Hepatocyte 4,CD8+ T cell 3,0.000418099260980747,0.000435507903957694,0.000361635326808008,0.000134870845761291,all4,2,2,2,2,0.000426803582469221,0.00024825308628465,0.000418099260980747,0.000435507903957694,0.000134870845761291,0.000361635326808008,0.781542120400496,TRUE,TRUE,FALSE,TRUE,irHepatitis
CSF,Macrophage 2,Hepatocyte 2,2.25271238855015e-06,1.20056562314931e-06,7.37717841472186e-07,1.19732328175203e-06,all4,2,2,2,2,1.72663900584973e-06,9.67520561612107e-07,1.20056562314931e-06,2.25271238855015e-06,7.37717841472186e-07,1.19732328175203e-06,0.780639880821015,TRUE,TRUE,FALSE,TRUE,irHepatitis
CCL,CD8+ T cell 1,Hepatocyte 4,5.03221453350262e-05,4.37978896048879e-05,2.86738650204849e-05,2.61286299481121e-05,all4,2,2,2,2,4.70600174699571e-05,2.74012474842985e-05,4.37978896048879e-05,5.03221453350262e-05,2.61286299481121e-05,2.86738650204849e-05,0.778287997274223,TRUE,TRUE,FALSE,TRUE,irHepatitis
FN1,CD8+ T cell 3,Hepatocyte 2,2.9981009117609e-05,5.74626126351605e-05,7.67205460435962e-05,7.31507957747748e-05,all4,2,2,2,2,4.37218108763847e-05,7.49356709091855e-05,2.9981009117609e-05,5.74626126351605e-05,7.31507957747748e-05,7.67205460435962e-05,-0.776065761763133,TRUE,FALSE,TRUE,TRUE,AIH
CCL,IgG+ B cell,Macrophage 2,3.61154156996531e-05,6.62942835217893e-05,3.58316827664245e-05,2.39276256788242e-05,all4,2,2,2,2,5.12048496107212e-05,2.98796542226244e-05,3.61154156996531e-05,6.62942835217893e-05,2.39276256788242e-05,3.58316827664245e-05,0.77531342666326,TRUE,TRUE,FALSE,TRUE,irHepatitis
CSF,Hepatocyte 1,Sinusoidal endothelial cell,2.28250340586263e-05,1.83458131866969e-05,3.85550996825159e-05,3.20145373472275e-05,all4,2,2,2,2,2.05854236226616e-05,3.52848185148717e-05,1.83458131866969e-05,2.28250340586263e-05,3.20145373472275e-05,3.85550996825159e-05,-0.774808594976885,TRUE,FALSE,TRUE,TRUE,AIH
CSF,CD8+ T cell 1,CD8+ T cell 3,6.774792364236e-05,7.00076219477526e-05,4.36810670054699e-05,3.69141382880052e-05,all4,2,2,2,2,6.88777727950563e-05,4.02976026467376e-05,6.774792364236e-05,7.00076219477526e-05,3.69141382880052e-05,4.36810670054699e-05,0.772011263583924,TRUE,TRUE,FALSE,TRUE,irHepatitis
CCL,IgM+ B cell,Cholangiocyte,5.75009927338972e-05,3.52458096771297e-05,2.75557445488771e-05,2.67316249024244e-05,all4,2,2,2,2,4.63734012055135e-05,2.71436847256508e-05,3.52458096771297e-05,5.75009927338972e-05,2.67316249024244e-05,2.75557445488771e-05,0.770704643497107,TRUE,TRUE,FALSE,TRUE,irHepatitis
FN1,CD8+ T cell 3,Hepatocyte 1,3.80861766459489e-05,6.43030631132357e-05,9.52165347519699e-05,7.95651841329888e-05,all4,2,2,2,2,5.11946198795923e-05,8.73908594424793e-05,3.80861766459489e-05,6.43030631132357e-05,7.95651841329888e-05,9.52165347519699e-05,-0.770442262761029,TRUE,FALSE,TRUE,TRUE,AIH
CCL,Hepatocyte 1,CD8+ T cell 3,0.000345780251635183,0.000335782795616055,0.000281749707430973,0.000118255391769664,all4,2,2,2,2,0.000340781523625619,0.000200002549600319,0.000335782795616055,0.000345780251635183,0.000118255391769664,0.000281749707430973,0.768560913255299,TRUE,TRUE,FALSE,TRUE,irHepatitis
IL2,Stellate cell,Hepatocyte 2,0,0,2.2229512096395e-08,1.0309093820045e-07,all4,2,2,2,2,0,6.26602251484224e-08,0,0,2.2229512096395e-08,1.0309093820045e-07,-0.762949116172567,TRUE,FALSE,TRUE,TRUE,AIH
VEGF,Stellate cell,Macrophage 2,1.44178105511228e-05,9.82668148225894e-06,8.23324482462186e-06,6.06233240981151e-06,all4,2,2,2,2,1.21222460166909e-05,7.14778861721669e-06,9.82668148225894e-06,1.44178105511228e-05,6.06233240981151e-06,8.23324482462186e-06,0.7547153460346,TRUE,TRUE,FALSE,TRUE,irHepatitis
