lr_id,source,target,total_flow,mean_flow,n_source,n_target,sample_id,condition,kind
IL15-IL15RA_IL2RB_IL2RG,CD8+ T cell 3,CD4+ T cell,1.45531633324667,1.22162035863903e-05,165,722,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,CD8+ T cell 3,CD8+ T cell 1,1.85925382711484,7.88537789560337e-06,165,1429,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,CD8+ T cell 3,CD8+ T cell 2,0.165915703549875,8.66853205589735e-06,165,116,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,CD8+ T cell 3,CD8+ T cell 3,1.51466154738504,5.5634951235447e-05,165,165,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,CD8+ T cell 3,Cholangiocyte,0.9153993472175,1.4152741917401e-05,165,392,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,CD8+ T cell 3,Hepatocyte 1,2.07979988979611,2.50344544527232e-06,165,5035,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,CD8+ T cell 3,IgM+ B cell,0.0207545526091153,3.85844071558194e-07,165,326,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,CD8+ T cell 3,Macrophage 1,0.743393595302099,2.65963148117097e-06,165,1694,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,CD8+ T cell 3,Sinusoidal endothelial cell,0.183154988488583,1.20918326063632e-06,165,918,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,CD8+ T cell 3,Stellate cell,0.169603437928742,7.11349220630144e-07,165,1445,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Cholangiocyte,CD4+ T cell,6.31907941807278,2.23270090807591e-05,392,722,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Cholangiocyte,CD8+ T cell 1,10.3922859838216,1.85520879161637e-05,392,1429,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Cholangiocyte,CD8+ T cell 2,0.16700349109214,3.67266650009104e-06,392,116,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Cholangiocyte,CD8+ T cell 3,6.36023488694363,9.83338727109405e-05,392,165,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Cholangiocyte,Cholangiocyte,3.57075957158586,2.32374503565303e-05,392,392,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Cholangiocyte,Hepatocyte 1,1.27198717847959,6.44461817522033e-07,392,5035,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Cholangiocyte,IgG+ plasmablast / plasma cell,0.729339288513542,1.2656866731111e-05,392,147,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Cholangiocyte,IgM+ B cell,0.642541764231338,5.02802807868519e-06,392,326,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Cholangiocyte,Macrophage 1,5.6164812383163,8.4579446641151e-06,392,1694,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Cholangiocyte,Sinusoidal endothelial cell,0.0577219112516578,1.60402803487111e-07,392,918,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Cholangiocyte,Stellate cell,4.75683526217265,8.39777427825127e-06,392,1445,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Hepatocyte 1,CD4+ T cell,5.28794812342338,1.4546232118724e-06,5035,722,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Hepatocyte 1,CD8+ T cell 1,46.9097591080778,6.51975834770015e-06,5035,1429,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Hepatocyte 1,CD8+ T cell 2,5.56479510239123,9.52777985547928e-06,5035,116,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Hepatocyte 1,CD8+ T cell 3,10.7452337185809,1.2933987804858e-05,5035,165,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Hepatocyte 1,Cholangiocyte,1.5968588653133,8.09060487461899e-07,5035,392,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Hepatocyte 1,Hepatocyte 1,12.3880652550182,4.8865746152378e-07,5035,5035,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Hepatocyte 1,IgG+ plasmablast / plasma cell,0.38502654084717,5.20204204375048e-07,5035,147,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Hepatocyte 1,IgM+ B cell,0.647980779788013,3.94770824954163e-07,5035,326,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Hepatocyte 1,Macrophage 1,10.9280886522719,1.28124247765897e-06,5035,1694,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Hepatocyte 1,Sinusoidal endothelial cell,4.04813168187356,8.75815193833483e-07,5035,918,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Hepatocyte 1,Stellate cell,4.01996604709005,5.52528981845428e-07,5035,1445,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Hepatocyte 2,CD4+ T cell,1.57793144182916,5.69140784362434e-07,3840,722,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Hepatocyte 2,CD8+ T cell 1,14.1101217734199,2.5713861990866e-06,3840,1429,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Hepatocyte 2,CD8+ T cell 2,2.2874097420135,5.13516914065531e-06,3840,116,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Hepatocyte 2,CD8+ T cell 3,1.79694482140451,2.8360871549945e-06,3840,165,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Hepatocyte 2,Cholangiocyte,1.17471047880392,7.80393334664592e-07,3840,392,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Hepatocyte 2,Hepatocyte 1,2.5848258126644,1.33690510833768e-07,3840,5035,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Hepatocyte 2,IgG+ plasmablast / plasma cell,0.731780956017427,1.29638066187895e-06,3840,147,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Hepatocyte 2,IgM+ B cell,0.256719549332899,2.0507377087559e-07,3840,326,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Hepatocyte 2,Macrophage 1,1.41039099572143,2.1681778146544e-07,3840,1694,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Hepatocyte 2,Sinusoidal endothelial cell,1.01225888838159,2.87155866575207e-07,3840,918,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Hepatocyte 2,Stellate cell,1.10896316693531,1.99856395425193e-07,3840,1445,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Hepatocyte 3,CD4+ T cell,0.151216321014114,9.63832893838853e-08,2173,722,18321_a,irHepatitis,pair
