source,target,pathway_label,direction,log2FC,enrich_prob,irH_mean,AIH_mean,irH_s1_18321a,irH_s2_24774d,AIH_s1_54023b,AIH_s2_56784c,dir3,liana_confirmed,commot_confirmed,liana_detail,commot_detail,triple_confirmed
Hepatocyte 3,IgM+ B cell,FN1,AIH,-2.58410932211217,0.000144724452699273,0,2.87304371271714e-06,1.6461568214736e-05,3.1107554296943e-05,8.03817138722862e-05,0.000209067191526259,AIH,TRUE,FALSE,FN1-CD44,,FALSE
Sinusoidal endothelial cell,CD4+ T cell,CCL_CCR5,AIH,-2.64599068097923,2.21198555228313e-06,0,2.87304371271714e-06,0,0,2.84970516056737e-06,1.5742659439989e-06,AIH,TRUE,FALSE,CCL16-CCR5|CCL14-CCR5,,FALSE
CD8+ T cell 2,Vascular endothelial cell,FASLG,AIH,-2.66942022992937,8.07454159719614e-06,0,2.87304371271714e-06,0,1.82951784164091e-06,1.16031865497221e-05,4.54589664467018e-06,AIH,TRUE,FALSE,FASLG-FAS,,FALSE
Sinusoidal endothelial cell,IgM+ B cell,CCL_CCR1,AIH,-2.8274394218971,0.000195196696331866,0,2.87304371271714e-06,5.42767830104699e-05,0,0.000191968417898131,0.0001984249747656,AIH,TRUE,TRUE,CCL16-CCR1,CCL5-CCR1,TRUE
Cholangiocyte,CD8+ T cell 3,FN1,AIH,-2.83293516205839,0.00019913056258973,0,2.87304371271714e-06,3.51813633911571e-05,1.99900636488926e-05,8.29888648748828e-05,0.000315272260304577,AIH,TRUE,FALSE,FN1-CD44,,FALSE
Sinusoidal endothelial cell,CD4+ T cell,CXCL_CXCR3,AIH,-2.96656072464468,2.8670330571196e-06,0,2.87304371271714e-06,0,0,1.30152961569177e-06,4.43253649854743e-06,AIH,TRUE,FALSE,CXCL11-CXCR3|CXCL12-CXCR3,,FALSE
Sinusoidal endothelial cell,IgM+ B cell,CSF,AIH,-3.01838840824421,7.09099691466744e-05,0,2.87304371271714e-06,1.67656109429849e-05,0,8.00537650521194e-05,6.17661732412294e-05,AIH,FALSE,FALSE,,,FALSE
Sinusoidal endothelial cell,CD4+ T cell,CCL_CCR7,AIH,-3.04922273992405,3.06090485828976e-06,0,2.87304371271714e-06,0,0,5.68385148543654e-06,4.37958231142983e-07,AIH,TRUE,FALSE,CCL21-CCR7,,FALSE
Sinusoidal endothelial cell,CD4+ T cell,CXCL_CXCR6,AIH,-3.06350272962487,1.33375201006327e-05,0,2.87304371271714e-06,2.45023572837945e-06,0,1.3570267959518e-05,1.31047722417474e-05,AIH,FALSE,FALSE,,,FALSE
Cholangiocyte,CD8+ T cell 2,CEACAM,AIH,-3.18786415378,3.41207599611162e-06,0,2.87304371271714e-06,0,0,1.67261644529509e-06,5.15153554692815e-06,AIH,FALSE,FALSE,,,FALSE
CD4+ T cell,Sinusoidal endothelial cell,CD40,AIH,-3.55381618046495,4.4493921038468e-05,0,2.87304371271714e-06,2.13328666936706e-06,4.67465346114895e-06,4.29915328323909e-05,4.59963092445451e-05,AIH,TRUE,FALSE,CD40LG-CD40,,FALSE
Sinusoidal endothelial cell,CD4+ T cell,CSF,AIH,-3.59259109486876,0.00010026959688945,0,2.87304371271714e-06,1.58520161810487e-05,0,0.000106939884458871,9.35993093200296e-05,AIH,FALSE,FALSE,,,FALSE
Hepatocyte 1,CD4+ T cell,CXCL_CXCR6,AIH,-3.83013068404244,5.56135524376163e-06,0,2.87304371271714e-06,0,0,7.37308599586896e-06,3.74962449165429e-06,AIH,FALSE,FALSE,,,FALSE
Hepatocyte 2,CD4+ T cell,CXCL_CXCR3,AIH,-4.29234210478343,7.82044806549699e-06,0,2.87304371271714e-06,0,0,9.00240046887677e-06,6.63849566211721e-06,AIH,TRUE,FALSE,CXCL11-CXCR3|CXCL9-CXCR3|CXCL10-CXCR3,,FALSE
CD4+ T cell,Hepatocyte 2,CD40,AIH,-4.3055320400377,7.89613776836314e-06,0,2.87304371271714e-06,0,0,7.9894034272821e-06,7.80287210944419e-06,AIH,TRUE,FALSE,CD40LG-CD40,,FALSE
Hepatocyte 1,CD4+ T cell,CXCL_CXCR3,AIH,-4.69699060541282,1.04886186134675e-05,0,2.87304371271714e-06,0,0,1.2098961255713e-05,8.87827597122191e-06,AIH,TRUE,FALSE,CXCL11-CXCR3|CXCL10-CXCR3|CXCL9-CXCR3,,FALSE
Hepatocyte 2,CD4+ T cell,ICOS,AIH,-4.86653948261704,1.1849070361488e-05,0,2.87304371271714e-06,0,0,5.11057988645314e-06,1.8587560836523e-05,AIH,TRUE,FALSE,ICOSLG-CTLA4|ICOSLG-CD28,,FALSE
Sinusoidal endothelial cell,CD4+ T cell,CCL_CCR4,AIH,-4.98550258616383,1.2903697701575e-05,0,2.87304371271714e-06,0,0,2.35408341626108e-05,2.26656124053925e-06,AIH,TRUE,FALSE,CCL5-CCR4,,FALSE
Hepatocyte 2,CD4+ T cell,CCL_CCR1,AIH,-5.72035590823973,8.33402892734498e-05,0,2.87304371271714e-06,2.33622601757817e-06,0,7.15483989169509e-05,9.51321796299486e-05,AIH,TRUE,FALSE,CCL16-CCR1|CCL15-CCR1,,FALSE
Sinusoidal endothelial cell,CD4+ T cell,CD86,AIH,-7.66463917562431,8.49178022152787e-05,0,2.87304371271714e-06,0,0,7.03054593356254e-05,9.95301450949319e-05,AIH,TRUE,FALSE,CD86-CTLA4|CD86-CD28,,FALSE
Ig+ hepatocyte,IgM+ B cell,CCL_CCR1,AIH,-7.89543496883589,9.97224826380661e-05,0,2.87304371271714e-06,0,0,8.80647447113208e-05,0.000111380220564811,AIH,TRUE,FALSE,CCL16-CCR1,,FALSE
Ig+ hepatocyte,IgM+ B cell,FN1,AIH,-9.18613387760836,0.000244575976195398,0,2.87304371271714e-06,0,0,0.000184185632606049,0.000304966319784746,AIH,TRUE,FALSE,FN1-CD44,,FALSE
Cholangiocyte,CD8+ T cell 2,FN1,AIH,-9.93929208392903,0.000412515849201083,0,2.87304371271714e-06,0,0,0.000117906356706212,0.000707125341695955,AIH,TRUE,FALSE,FN1-CD44|FN1-SDC1,,FALSE
