lr_id,source,target,18321_a,24774_d,54023_b,56784_c,comparability,n_ir_tested,n_aih_tested,n_ir_notNA,n_aih_notNA,irHep_mean,AIH_mean,irHep_min,irHep_max,AIH_min,AIH_max,log2FC,is_strict_eligible,coherent_strict_irHep,coherent_strict_AIH,coherent_strict,enriched_strict,enriched_presence
CCL5-CCR1,CD8+ T cell 2,CD4+ T cell,6.79037040191211e-05,2.61415612910926e-05,8.1321744577585e-06,1.14786109252631e-05,all4,2,2,2,2,4.70226326551069e-05,9.80539269151078e-06,2.61415612910926e-05,6.79037040191211e-05,8.1321744577585e-06,1.14786109252631e-05,2.25628063116547,TRUE,TRUE,FALSE,TRUE,irHepatitis,
IL15-IL15RA_IL2RB_IL2RG,CD4+ T cell,Stellate cell,4.38892780496246e-06,6.18291355264918e-07,5.64662350203727e-07,4.1010371091107e-07,all4,2,2,2,2,2.50360958011369e-06,4.87383030557399e-07,6.18291355264918e-07,4.38892780496246e-06,4.1010371091107e-07,5.64662350203727e-07,2.25545046434059,TRUE,TRUE,FALSE,TRUE,irHepatitis,
FN1-SDC1,Macrophage 1,Vascular endothelial cell,1.34064030555995e-05,8.88716615532897e-06,2.20884210135529e-06,2.401108687167e-06,all4,2,2,2,2,1.11467846054643e-05,2.30497539426114e-06,8.88716615532897e-06,1.34064030555995e-05,2.20884210135529e-06,2.401108687167e-06,2.25087887690757,TRUE,TRUE,FALSE,TRUE,irHepatitis,
CCL16-CCR1,IgG+ B cell,Stellate cell,4.87602433782265e-06,4.73066177059865e-06,4.70804380662546e-07,1.47549860513634e-06,all4,2,2,2,2,4.80334305421065e-06,9.73151492899444e-07,4.73066177059865e-06,4.87602433782265e-06,4.70804380662546e-07,1.47549860513634e-06,2.24959349346911,TRUE,TRUE,FALSE,TRUE,irHepatitis,
CCL5-CCR1,Vascular endothelial cell,Hepatocyte 3,1.56184225867006e-07,8.99459042452382e-09,8.22165928540238e-07,3.14019370890957e-07,all4,2,2,2,2,8.25894081457649e-08,5.68092649715598e-07,8.99459042452382e-09,1.56184225867006e-07,3.14019370890957e-07,8.22165928540238e-07,-2.24914113945498,TRUE,FALSE,TRUE,TRUE,AIH,
CCL15-CCR1,CD4+ T cell,CD4+ T cell,4.06003978280597e-06,1.6454795346528e-06,3.63623645845314e-07,7.629044385843e-07,all4,2,2,2,2,2.85275965872939e-06,5.63264042214807e-07,1.6454795346528e-06,4.06003978280597e-06,3.63623645845314e-07,7.629044385843e-07,2.24891277857175,TRUE,TRUE,FALSE,TRUE,irHepatitis,
MHC-I,CD8+ T cell 1,CD4+ T cell,0.000227152713364334,0.000223428584306791,5.02506115920259e-05,4.45980060064388e-05,all4,2,2,2,2,0.000225290648835562,4.74243087992324e-05,0.000223428584306791,0.000227152713364334,4.45980060064388e-05,5.02506115920259e-05,2.2469668753424,TRUE,TRUE,FALSE,TRUE,irHepatitis,
CCL15-CCR1,CD8+ T cell 1,CD8+ T cell 2,6.5776981073811e-06,8.38823447757891e-06,1.60534899192559e-06,1.47520975996541e-06,all4,2,2,2,2,7.48296629248001e-06,1.5402793759455e-06,6.5776981073811e-06,8.38823447757891e-06,1.47520975996541e-06,1.60534899192559e-06,2.24627366415996,TRUE,TRUE,FALSE,TRUE,irHepatitis,
VEGFA-FLT1,Macrophage 2,IgM+ B cell,1.10595757716894e-05,3.61048806426947e-05,3.50192456160142e-06,6.37002068208187e-06,all4,2,2,2,2,2.35822282071921e-05,4.93597262184164e-06,1.10595757716894e-05,3.61048806426947e-05,3.50192456160142e-06,6.37002068208187e-06,2.24555330032905,TRUE,TRUE,FALSE,TRUE,irHepatitis,
FN1-SDC1,IgG+ B cell,Hepatocyte 2,2.77960375536973e-05,3.31171282302545e-05,6.07477460218357e-06,6.70096679051085e-06,all4,2,2,2,2,3.04565828919759e-05,6.38787069634721e-06,2.77960375536973e-05,3.31171282302545e-05,6.07477460218357e-06,6.70096679051085e-06,2.24504159517759,TRUE,TRUE,FALSE,TRUE,irHepatitis,
IL15-IL15RA_IL2RB_IL2RG,Macrophage 1,CD8+ T cell 3,3.20202383077517e-05,8.27297834149762e-05,1.18204686164195e-05,1.23318622304604e-05,all4,2,2,2,2,5.7375010861364e-05,1.207616542344e-05,3.20202383077517e-05,8.27297834149762e-05,1.18204686164195e-05,1.23318622304604e-05,2.24386179432244,TRUE,TRUE,FALSE,TRUE,irHepatitis,
