condition,n_cells,mean_ifn_score,median_ifn_score,mean_cxcl_score,pct_ifn_high,pct_cxcl_high
irHep,668,3.4375668809963,3.54939139882581,3.96494720082948,93.2634730538922,76.0479041916168
AIH,5660,2.2879951140282,2.3417392530212,1.03359200252176,93.0212014134276,39.7879858657244
