source,target,ligand,receptor,irH_mean,AIH_mean,log2FC,enrich_strength,coherent,direction,irH_s1,irH_s2,AIH_s1,AIH_s2,abs_log2FC
Hepatocyte 1,CD4+ T cell,VEGFA,CD44,2.7739898543395,3.57209785804836,-0.363650796731151,3.57209785804836,TRUE,AIH,2.32306035328969,3.22491935538931,3.65661797419159,3.48757774190513,0.363650796731151
CD4+ T cell,Hepatocyte 1,TGFB1,EGFR,2.17738713157543,2.86749151607004,-0.395603098457822,2.86749151607004,TRUE,AIH,2.32306035328969,2.03171390986118,2.84288528358104,2.89209774855904,0.395603098457822
CD8+ T cell 3,Cholangiocyte,TGFB1,EGFR,1.64058056250619,2.16306068269048,-0.396754906135004,2.16306068269048,TRUE,AIH,1.29794124501885,1.98321987999353,2.10666457311258,2.21945679226839,0.396754906135004
Hepatocyte 1,CD4+ T cell,ICOSLG,CTLA4,0.915988340511419,1.21277751402792,-0.401095994325325,1.21277751402792,TRUE,AIH,1.11600974530876,0.715966935714075,1.1983130105541,1.22724201750174,0.401095994325325
CD8+ T cell 2,Cholangiocyte,CCL5,SDC1,1.54255981112866,2.09971171996683,-0.442397028186498,2.09971171996683,TRUE,AIH,1.19759133114218,1.88752829111514,2.10666457311258,2.09275886682108,0.442397028186498
Hepatocyte 2,CD4+ T cell,VEGFA,CD44,1.50726076465032,2.16306068269048,-0.518259406045779,2.16306068269048,TRUE,AIH,0.931197984812408,2.08332354448824,2.10666457311258,2.21945679226839,0.518259406045779
Cholangiocyte,CD8+ T cell 3,VEGFA,CD44,1.8091723154848,2.65291102214148,-0.549722019195698,2.65291102214148,TRUE,AIH,1.53502108648135,2.08332354448824,2.2595570001174,3.04626504416555,0.549722019195698
CD4+ T cell,Hepatocyte 1,ANXA1,EGFR,1.39861983541998,2.11048535368744,-0.590112214960871,2.11048535368744,TRUE,AIH,1.37841793448543,1.41882173635453,2.10666457311258,2.11430613426231,0.590112214960871
Cholangiocyte,CD8+ T cell 3,VCAN,CD44,0.887588234959415,1.34397182999869,-0.59307205208272,1.34397182999869,TRUE,AIH,0.838181790930627,0.936994678988203,1.35619974507591,1.33174391492146,0.59307205208272
Sinusoidal endothelial cell,CD4+ T cell,HLA-B,CD3D,1.4204767206956,2.16306068269048,-0.603232442612292,2.16306068269048,TRUE,AIH,1.56799968918259,1.27295375220862,2.10666457311258,2.21945679226839,0.603232442612292
Sinusoidal endothelial cell,CD4+ T cell,ICAM1,IL2RG,1.37793689470885,2.13512550882427,-0.628120086191492,2.13512550882427,TRUE,AIH,1.14541811875195,1.61045567066576,2.10666457311258,2.16358644453595,0.628120086191492
IgG+ B cell,Hepatocyte 4,DCN,EGFR,1.37532708033409,2.16306068269048,-0.649501820728772,2.16306068269048,TRUE,AIH,0.986223790785445,1.76443036988274,2.10666457311258,2.21945679226839,0.649501820728772
Cholangiocyte,CD8+ T cell 2,VEGFA,CD44,1.33385547707723,2.16306068269048,-0.693350468338028,2.16306068269048,TRUE,AIH,0.951308788139005,1.71640216601545,2.10666457311258,2.21945679226839,0.693350468338028
Sinusoidal endothelial cell,CD4+ T cell,CXCL12,CCR4,1.59287168078324,2.58588054168271,-0.69556506034858,2.58588054168271,TRUE,AIH,2.10461196920564,1.08113139236084,2.95230429109703,2.21945679226839,0.69556506034858
Sinusoidal endothelial cell,IgM+ B cell,ICAM1,IL2RG,0.802281418725487,1.31363939737973,-0.704458590783091,1.31363939737973,TRUE,AIH,0.644099843673726,0.960462993777247,1.26692559639354,1.36035319836592,0.704458590783091
