cluster,marker,marker_class,mean_logexpr_per_cluster,pct_cells_pos
CD4+ T cell,TOX,exhaustion,0.854422226629318,15.6193243734108
CD8+ T cell 1,TOX,exhaustion,1.8088427978552,34.2275388139476
CD8+ T cell 2,TOX,exhaustion,1.94578966880216,39.2592592592593
CD8+ T cell 3,TOX,exhaustion,1.79511985177146,36.058981233244
Cholangiocyte,TOX,exhaustion,0.364605921514262,7.34829329962073
Hepatocyte 1,TOX,exhaustion,0.109466842619938,2.85145288313569
Hepatocyte 2,TOX,exhaustion,0.0600380104708817,1.17986588574824
Hepatocyte 3,TOX,exhaustion,0.0701552601296535,1.00991210024313
Hepatocyte 4,TOX,exhaustion,0.154158521424421,3.98981324278438
Ig+ hepatocyte,TOX,exhaustion,0.300346397746914,6.66666666666667
IgG+ B cell,TOX,exhaustion,0.23087941252281,3.64218531118671
IgG+ plasmablast / plasma cell,TOX,exhaustion,0.493552361655938,10.4812661498708
IgM+ B cell,TOX,exhaustion,0.66457797294735,12.8521599141401
Macrophage 1,TOX,exhaustion,0.280779757287039,6.2202852614897
Macrophage 2,TOX,exhaustion,0.193846039051948,3.35000396919902
Sinusoidal endothelial cell,TOX,exhaustion,0.179330100605879,3.59395909004015
Stellate cell,TOX,exhaustion,0.180852984889748,3.50996376811594
Vascular endothelial cell,TOX,exhaustion,0.148026894090035,2.7209186220669
CD4+ T cell,EOMES,exhaustion,0.389247727707185,7.21637002058361
CD8+ T cell 1,EOMES,exhaustion,1.64144025422976,31.0918808857216
CD8+ T cell 2,EOMES,exhaustion,1.27768225302551,26.8783068783069
CD8+ T cell 3,EOMES,exhaustion,1.27900108432546,26.4075067024129
Cholangiocyte,EOMES,exhaustion,0.174189294466936,3.57142857142857
Hepatocyte 1,EOMES,exhaustion,0.0852494604222136,2.25853172807097
Hepatocyte 2,EOMES,exhaustion,0.0424176090511695,0.857312622018504
Hepatocyte 3,EOMES,exhaustion,0.0401678254931706,0.598466429773705
Hepatocyte 4,EOMES,exhaustion,0.125457872148627,3.35314091680815
Ig+ hepatocyte,EOMES,exhaustion,0.208534161944714,4.62585034013605
IgG+ B cell,EOMES,exhaustion,0.144282953131429,2.3013808284971
IgG+ plasmablast / plasma cell,EOMES,exhaustion,0.175548316077107,3.74677002583979
IgM+ B cell,EOMES,exhaustion,0.311048387241706,6.35900187818621
Macrophage 1,EOMES,exhaustion,0.215389671511652,4.89302694136292
Macrophage 2,EOMES,exhaustion,0.136833722720937,2.36564261332063
Sinusoidal endothelial cell,EOMES,exhaustion,0.157584794694548,3.32632383865418
Stellate cell,EOMES,exhaustion,0.1554493111286,3.10235507246377
Vascular endothelial cell,EOMES,exhaustion,0.103289610645751,1.94707938092861
CD4+ T cell,ENTPD1,exhaustion,0.918454516606265,17.1086087904105
CD8+ T cell 1,ENTPD1,exhaustion,1.16071714203368,22.6266225502673
CD8+ T cell 2,ENTPD1,exhaustion,0.977073471181757,20.6701940035273
CD8+ T cell 3,ENTPD1,exhaustion,1.80727589015975,37.0643431635389
Cholangiocyte,ENTPD1,exhaustion,0.598514012922314,11.9152970922882
Hepatocyte 1,ENTPD1,exhaustion,0.196581254292847,5.01946229745632
Hepatocyte 2,ENTPD1,exhaustion,0.129892980638536,2.56344962227315
Hepatocyte 3,ENTPD1,exhaustion,0.140606600085531,2.01982420048625
Hepatocyte 4,ENTPD1,exhaustion,0.242613855973159,6.32427843803056
Ig+ hepatocyte,ENTPD1,exhaustion,0.373901693994838,7.89115646258503
IgG+ B cell,ENTPD1,exhaustion,0.423946231116391,6.98419051430859
IgG+ plasmablast / plasma cell,ENTPD1,exhaustion,1.30521210575852,26.7280361757106
IgM+ B cell,ENTPD1,exhaustion,1.44330404672631,27.3410249530454
Macrophage 1,ENTPD1,exhaustion,2.51287325950586,49.9075541468568
Macrophage 2,ENTPD1,exhaustion,1.38178070618155,23.2991982217988
Sinusoidal endothelial cell,ENTPD1,exhaustion,0.734894740723537,14.394953163831
Stellate cell,ENTPD1,exhaustion,0.799207945326192,15.6099033816425
Vascular endothelial cell,ENTPD1,exhaustion,2.28215108893315,37.7433849226161
CD4+ T cell,PDCD1LG2,checkpoint_ligand,0.412102224531295,8.02760624772975
CD8+ T cell 1,PDCD1LG2,checkpoint_ligand,0.66735974951119,13.6217867141766
CD8+ T cell 2,PDCD1LG2,checkpoint_ligand,0.36299834729202,8.18342151675485
CD8+ T cell 3,PDCD1LG2,checkpoint_ligand,0.757540855238739,16.8900804289544
Cholangiocyte,PDCD1LG2,checkpoint_ligand,0.195099506171436,4.06131479140329
Hepatocyte 1,PDCD1LG2,checkpoint_ligand,0.194222988145494,4.95609667783109
Hepatocyte 2,PDCD1LG2,checkpoint_ligand,0.140413582608278,2.75867922926747
Hepatocyte 3,PDCD1LG2,checkpoint_ligand,0.10299307405357,1.49616607443426
Hepatocyte 4,PDCD1LG2,checkpoint_ligand,0.242438398090023,6.19694397283532
Ig+ hepatocyte,PDCD1LG2,checkpoint_ligand,0.263537245903309,5.4421768707483
IgG+ B cell,PDCD1LG2,checkpoint_ligand,0.191696791998376,3.16189713828297
IgG+ plasmablast / plasma cell,PDCD1LG2,checkpoint_ligand,0.563186886693766,12.03165374677
IgM+ B cell,PDCD1LG2,checkpoint_ligand,0.462572604404837,9.20311242286021
Macrophage 1,PDCD1LG2,checkpoint_ligand,1.70490651976974,35.1360274696249
Macrophage 2,PDCD1LG2,checkpoint_ligand,0.465937159688362,8.02572040962134
Sinusoidal endothelial cell,PDCD1LG2,checkpoint_ligand,1.33048290700794,25.5782833110304
Stellate cell,PDCD1LG2,checkpoint_ligand,0.61871617390586,12.2961956521739
Vascular endothelial cell,PDCD1LG2,checkpoint_ligand,0.421978983061692,7.93809286070894
CD4+ T cell,ITGAE,TRM,0.32985070585806,6.13875771885216
CD8+ T cell 1,ITGAE,TRM,1.42651011282883,25.7826418936116
CD8+ T cell 2,ITGAE,TRM,1.52802839072362,29.9118165784833
CD8+ T cell 3,ITGAE,TRM,1.60911521122588,30.6970509383378
Cholangiocyte,ITGAE,TRM,0.429336051927437,8.65992414664981
Hepatocyte 1,ITGAE,TRM,0.261246912161022,6.64886394496243
Hepatocyte 2,ITGAE,TRM,0.106047926107421,2.05415499533147
Hepatocyte 3,ITGAE,TRM,0.0862385745198517,1.25303908733869
Hepatocyte 4,ITGAE,TRM,0.302158417675201,7.89473684210526
Ig+ hepatocyte,ITGAE,TRM,0.284308042919882,6.25850340136055
