source,target,pathway_label,direction,log2FC,p_perm,BH_FDR
Hepatocyte 3,Cholangiocyte,FN1,AIH,-8.43780984905443,0.00100286648697995,0.00289071096690355
Cholangiocyte,CD8+ T cell 2,FN1,AIH,-8.37715361781874,0.00100286648697995,0.00289071096690355
CD8+ T cell 3,Ig+ hepatocyte,FN1,AIH,-8.36947713131446,0.00100286648697995,0.00289071096690355
Hepatocyte 1,Sinusoidal endothelial cell,FN1,AIH,-8.36689888140272,0.00100286648697995,0.00289071096690355
Hepatocyte 1,IgG+ B cell,FN1,AIH,-8.34271656327848,0.0099009900990099,0.010590318772137
IgG+ plasmablast / plasma cell,Vascular endothelial cell,VEGF,AIH,-8.33107059788509,0.00100286648697995,0.00289071096690355
Ig+ hepatocyte,CD4+ T cell,MHC-I_CD8A,AIH,-8.30499766187228,0.0099009900990099,0.010590318772137
Cholangiocyte,Macrophage 2,FN1,AIH,-8.30229103325373,0.0099009900990099,0.010590318772137
IgG+ plasmablast / plasma cell,CD8+ T cell 2,MHC-I_CD8B,AIH,-8.30022528980045,0.00100286648697995,0.00289071096690355
Cholangiocyte,Hepatocyte 3,FN1,AIH,-8.23906262914987,0.00100286648697995,0.00289071096690355
Hepatocyte 4,CD4+ T cell,MHC-I_CD8A,AIH,-8.2221264286024,0.0099009900990099,0.010590318772137
Hepatocyte 1,Sinusoidal endothelial cell,CCL_CCR1,AIH,-8.21646395913069,0.00100286648697995,0.00289071096690355
Hepatocyte 2,CD8+ T cell 1,FN1,AIH,-8.20228264976697,0.0099009900990099,0.010590318772137
Ig+ hepatocyte,Sinusoidal endothelial cell,FN1,AIH,-8.14340177311527,0.00100286648697995,0.00289071096690355
Hepatocyte 2,Sinusoidal endothelial cell,FN1,AIH,-8.10923056433156,0.00100286648697995,0.00289071096690355
Hepatocyte 2,IgG+ B cell,FN1,AIH,-8.1021730477476,0.0099009900990099,0.010590318772137
Stellate cell,Vascular endothelial cell,VEGF,AIH,-8.08542664443592,0.00100286648697995,0.00289071096690355
CD4+ T cell,Macrophage 2,CSF,AIH,-8.0549914030651,0.0099009900990099,0.010590318772137
Hepatocyte 3,Macrophage 2,FN1,AIH,-8.04823384504198,0.0099009900990099,0.010590318772137
CD8+ T cell 2,Macrophage 1,FN1,AIH,-7.98030444397533,0.0099009900990099,0.010590318772137
Ig+ hepatocyte,IgM+ B cell,FN1,AIH,-7.94002562377683,0.00100286648697995,0.00289071096690355
CD8+ T cell 1,Macrophage 1,CCL_CCR1,AIH,-7.93933916198726,0.0099009900990099,0.010590318772137
CD8+ T cell 1,Sinusoidal endothelial cell,CSF,AIH,-7.91860617504409,0.00100286648697995,0.00289071096690355
Hepatocyte 4,Macrophage 1,FN1,AIH,-7.91388001247351,0.0099009900990099,0.010590318772137
