sample,x0,y0,n_hep,n_cd4,n_interact,frac
56784_c,15895.9170014954,-8862.21958007813,110,70,4,0.0571428571428571
56784_c,15895.9170014954,-8812.21958007813,153,49,8,0.163265306122449
56784_c,15945.9170014954,-9112.21958007813,81,47,9,0.191489361702128
56784_c,15945.9170014954,-9062.21958007812,66,70,9,0.128571428571429
56784_c,15945.9170014954,-8912.21958007813,62,98,8,0.0816326530612245
56784_c,15945.9170014954,-8862.21958007813,109,71,5,0.0704225352112676
56784_c,15945.9170014954,-8812.21958007813,159,47,9,0.191489361702128
56784_c,15995.9170014954,-9112.21958007813,101,41,9,0.219512195121951
56784_c,15995.9170014954,-9062.21958007812,84,71,9,0.126760563380282
56784_c,15995.9170014954,-8912.21958007813,67,105,8,0.0761904761904762
56784_c,15995.9170014954,-8862.21958007813,110,80,6,0.075
56784_c,15995.9170014954,-8812.21958007813,163,52,9,0.173076923076923
56784_c,16045.9170014954,-9112.21958007813,122,34,9,0.264705882352941
56784_c,16045.9170014954,-9062.21958007812,103,60,9,0.15
56784_c,16045.9170014954,-9012.21958007812,66,79,9,0.113924050632911
56784_c,16045.9170014954,-8912.21958007813,62,85,9,0.105882352941176
56784_c,16045.9170014954,-8862.21958007813,107,63,6,0.0952380952380952
56784_c,16045.9170014954,-8812.21958007813,163,39,8,0.205128205128205
56784_c,16045.9170014954,-8612.21958007813,148,30,11,0.366666666666667
56784_c,16045.9170014954,-8562.21958007813,124,35,11,0.314285714285714
56784_c,16045.9170014954,-8512.21958007812,140,43,16,0.372093023255814
56784_c,16045.9170014954,-8462.21958007813,167,42,18,0.428571428571429
56784_c,16045.9170014954,-8412.21958007813,186,32,14,0.4375
56784_c,16095.9170014954,-9062.21958007812,97,53,9,0.169811320754717
56784_c,16095.9170014954,-9012.21958007812,72,69,9,0.130434782608696
56784_c,16095.9170014954,-8912.21958007813,63,74,10,0.135135135135135
56784_c,16095.9170014954,-8862.21958007813,104,55,6,0.109090909090909
56784_c,16095.9170014954,-8612.21958007813,118,33,10,0.303030303030303
56784_c,16095.9170014954,-8562.21958007813,89,40,11,0.275
56784_c,16095.9170014954,-8512.21958007812,117,49,17,0.346938775510204
56784_c,16095.9170014954,-8462.21958007813,153,48,19,0.395833333333333
56784_c,16095.9170014954,-8412.21958007813,173,33,14,0.424242424242424
56784_c,16145.9170014954,-9062.21958007812,95,47,7,0.148936170212766
