sample,x0,y0,n_chol,n_cd8t23,n_cd8t1,chol_with_cd23,cd23_with_chol,score
56784_c,16650,-9100,29,30,91,5,4,9
56784_c,18750,-9200,21,30,106,4,5,9
54023_b,5100,-9150,23,29,51,5,4,9
56784_c,16650,-9150,29,29,104,5,4,9
56784_c,16650,-9050,27,29,72,5,4,9
54023_b,5100,-9250,22,28,68,5,4,9
56784_c,18650,-9200,36,28,101,4,5,9
54023_b,1450,-10400,52,27,105,5,4,9
56784_c,16400,-9000,19,27,90,4,5,9
56784_c,17400,-9250,25,27,81,5,4,9
56784_c,18300,-9050,61,27,88,6,3,9
56784_c,18700,-9200,32,27,113,4,5,9
56784_c,17400,-9200,27,26,99,5,4,9
56784_c,18250,-9100,49,26,94,6,3,9
56784_c,18250,-9050,49,26,88,6,3,9
56784_c,18600,-9200,36,26,106,4,5,9
56784_c,16750,-9250,19,24,82,6,3,9
56784_c,18250,-9150,44,24,96,6,3,9
56784_c,17400,-9300,19,23,64,5,4,9
56784_c,18300,-9100,61,23,95,6,3,9
56784_c,13350,-10250,16,22,74,6,3,9
56784_c,16100,-9050,36,22,118,4,5,9
56784_c,18300,-9000,59,22,80,6,3,9
56784_c,16200,-8500,42,21,64,4,5,9
56784_c,18300,-9150,56,21,97,6,3,9
56784_c,18350,-9050,78,21,88,6,3,9
56784_c,13650,-9600,24,20,78,4,5,9
56784_c,16400,-8850,29,20,74,5,4,9
56784_c,16050,-9000,65,19,109,5,4,9
56784_c,18250,-9000,47,19,77,6,3,9
56784_c,13650,-9150,29,18,129,5,4,9
56784_c,16050,-8850,71,18,108,5,4,9
56784_c,18350,-9150,69,18,95,6,3,9
56784_c,18350,-9000,75,18,79,6,3,9
56784_c,18350,-9100,78,17,91,6,3,9
56784_c,16200,-8550,43,16,55,4,5,9
56784_c,13600,-9650,27,15,89,4,5,9
56784_c,15750,-8750,32,14,58,6,3,9
56784_c,17400,-9350,17,14,41,5,4,9
54023_b,6650,-8850,35,12,132,7,2,9
56784_c,16200,-8600,28,12,43,4,5,9
56784_c,17150,-9250,49,12,60,4,5,9
56784_c,17200,-9300,40,12,46,5,4,9
56784_c,13500,-9850,47,11,72,6,3,9
56784_c,13500,-9800,36,10,71,6,3,9
54023_b,750,-11000,93,8,102,7,2,9
54023_b,2050,-10300,58,8,111,7,2,9
54023_b,6550,-8800,74,8,129,6,3,9
56784_c,13550,-9850,62,8,71,6,3,9
56784_c,13550,-9800,45,8,75,6,3,9
56784_c,17200,-9350,28,8,29,5,4,9
54023_b,650,-11000,112,7,107,7,2,9
54023_b,2200,-10500,68,7,103,6,3,9
54023_b,6600,-9050,33,7,103,6,3,9
56784_c,15150,-9050,75,7,88,5,4,9
54023_b,700,-11000,106,6,100,7,2,9
54023_b,6400,-8850,41,6,89,6,3,9
54023_b,6500,-9050,61,6,95,6,3,9
56784_c,15100,-9050,95,6,72,5,4,9
54023_b,6550,-9050,35,5,101,6,3,9
56784_c,14950,-9000,70,5,26,5,4,9
54023_b,1850,-10050,29,46,115,5,3,8
54023_b,1450,-10300,18,40,79,5,3,8
54023_b,1400,-10300,20,38,105,5,3,8
56784_c,13400,-9700,19,28,53,4,4,8
56784_c,17100,-9050,27,28,72,4,4,8
56784_c,16600,-9050,21,27,74,4,4,8
56784_c,16150,-8400,29,26,76,4,4,8
56784_c,16600,-9150,22,26,103,4,4,8
56784_c,17150,-9050,62,26,83,4,4,8
56784_c,16600,-9100,22,25,88,4,4,8
54023_b,5100,-9300,20,24,85,4,4,8
54023_b,5150,-9000,16,24,46,4,4,8
56784_c,18650,-8950,18,24,51,4,4,8
56784_c,18700,-8950,17,24,51,4,4,8
56784_c,17100,-9100,27,23,79,4,4,8
56784_c,17250,-8850,33,22,62,5,3,8
56784_c,16000,-8700,18,21,49,4,4,8
56784_c,16800,-9050,17,21,80,4,4,8
56784_c,18450,-8750,24,21,70,5,3,8
56784_c,16000,-8650,19,20,49,4,4,8
56784_c,17150,-9100,61,19,84,4,4,8
56784_c,18450,-8700,46,19,70,5,3,8
56784_c,13300,-9500,38,17,78,5,3,8
56784_c,13500,-10100,93,17,77,5,3,8
54023_b,6650,-8950,31,16,130,5,3,8
56784_c,16100,-8650,22,16,47,4,4,8
56784_c,16850,-9150,23,16,77,5,3,8
54023_b,6000,-8900,120,15,82,6,2,8
54023_b,6050,-8900,107,15,92,6,2,8
54023_b,6650,-9000,26,15,130,5,3,8
56784_c,13550,-10100,81,15,66,5,3,8
56784_c,16050,-8800,70,15,77,5,3,8
56784_c,16050,-8700,23,15,37,4,4,8
56784_c,16050,-8650,24,15,46,4,4,8
56784_c,16900,-9250,25,15,68,5,3,8
56784_c,17150,-9200,57,15,73,4,4,8
54023_b,4450,-9650,49,14,96,7,1,8
54023_b,6050,-8850,113,14,89,6,2,8
56784_c,13600,-9150,24,14,135,4,4,8
56784_c,16150,-8650,27,14,44,4,4,8
54023_b,6000,-8850,109,13,79,6,2,8
54023_b,6050,-8950,76,13,105,6,2,8
56784_c,13350,-9400,40,13,96,4,4,8
56784_c,16100,-8700,20,13,36,4,4,8
54023_b,5350,-8900,72,12,69,6,2,8
54023_b,5800,-9100,97,12,98,5,3,8
54023_b,6050,-9000,49,12,121,6,2,8
56784_c,16900,-9200,25,12,73,5,3,8
56784_c,18450,-8650,57,12,54,5,3,8
54023_b,5300,-8900,66,11,66,6,2,8
54023_b,5400,-8950,75,11,95,6,2,8
54023_b,5800,-9050,103,11,113,5,3,8
54023_b,5850,-9050,109,11,109,6,2,8
54023_b,5900,-8900,64,11,90,6,2,8
54023_b,5950,-8900,76,11,86,6,2,8
56784_c,13300,-9450,37,11,82,5,3,8
56784_c,14400,-8700,55,11,70,6,2,8
54023_b,5800,-9000,104,10,116,5,3,8
54023_b,5850,-9000,110,10,124,6,2,8
56784_c,14400,-8650,59,10,68,6,2,8
54023_b,2100,-10350,61,9,135,5,3,8
54023_b,5250,-8900,41,9,65,6,2,8
54023_b,5400,-8900,76,9,76,6,2,8
54023_b,6700,-8850,32,9,115,6,2,8
54023_b,6750,-8850,23,8,86,6,2,8
56784_c,13600,-9850,60,8,57,5,3,8
56784_c,14350,-8700,42,8,65,6,2,8
56784_c,14350,-8650,48,8,55,6,2,8
54023_b,3100,-9900,215,7,91,6,2,8
54023_b,3150,-9700,238,7,98,6,2,8
54023_b,6550,-8850,41,7,136,6,2,8
56784_c,14300,-8700,19,7,65,6,2,8
54023_b,2150,-10450,73,6,113,7,1,8
54023_b,5800,-8950,87,6,91,5,3,8
54023_b,5850,-8950,95,6,96,6,2,8
56784_c,13600,-9800,46,6,65,5,3,8
56784_c,14250,-8700,23,6,60,6,2,8
56784_c,14300,-8650,25,6,47,6,2,8
56784_c,15150,-9000,79,6,55,4,4,8
56784_c,14250,-8650,24,5,41,6,2,8
56784_c,15100,-9000,94,5,46,4,4,8
56784_c,18450,-8600,77,5,42,5,3,8
54023_b,5300,-9350,23,45,89,4,3,7
54023_b,5350,-9400,15,39,79,4,3,7
54023_b,1850,-10000,38,37,103,5,2,7
54023_b,5400,-9400,19,36,76,4,3,7
56784_c,13350,-9700,15,30,40,4,3,7
54023_b,1850,-9950,34,29,95,5,2,7
56784_c,17400,-9150,21,29,115,4,3,7
56784_c,16100,-8400,29,28,74,4,3,7
54023_b,5100,-9100,18,27,40,4,3,7
56784_c,16150,-8450,36,27,80,3,4,7
56784_c,16250,-9100,20,27,104,4,3,7
56784_c,18600,-9250,25,26,100,3,4,7
56784_c,18650,-9250,28,26,95,3,4,7
56784_c,16200,-9100,27,25,114,4,3,7
54023_b,2400,-9850,32,24,230,5,2,7
56784_c,16200,-8450,36,24,71,3,4,7
56784_c,16650,-9000,16,23,59,4,3,7
56784_c,17100,-9000,22,23,68,4,3,7
56784_c,17100,-8950,18,23,65,4,3,7
56784_c,16050,-9050,34,22,107,3,4,7
56784_c,16700,-9000,15,22,61,4,3,7
56784_c,17150,-9000,55,22,80,4,3,7
54023_b,950,-10900,18,21,116,4,3,7
56784_c,17150,-8950,42,21,78,4,3,7
56784_c,18600,-9300,21,21,78,3,4,7
56784_c,18650,-9300,24,21,71,3,4,7
54023_b,2400,-10300,38,20,127,3,4,7
56784_c,13700,-9600,22,20,61,3,4,7
56784_c,16850,-9100,18,20,85,4,3,7
56784_c,17100,-8900,18,20,59,4,3,7
54023_b,5150,-8950,15,19,40,4,3,7
56784_c,16000,-8850,72,19,109,4,3,7
56784_c,16000,-8750,48,19,68,4,3,7
56784_c,17150,-8900,32,19,68,4,3,7
56784_c,17200,-9150,68,19,88,5,2,7
54023_b,950,-10850,18,18,152,4,3,7
56784_c,13750,-9650,17,18,46,3,4,7
56784_c,16800,-9300,16,18,60,5,2,7
56784_c,13600,-9600,22,17,89,3,4,7
56784_c,13750,-9700,19,17,43,3,4,7
56784_c,16000,-8800,69,17,87,4,3,7
54023_b,2150,-9950,121,16,157,5,2,7
56784_c,16300,-8750,34,16,45,5,2,7
54023_b,3250,-9700,180,15,134,5,2,7
56784_c,13400,-9400,45,15,102,4,3,7
56784_c,16000,-8900,81,15,108,4,3,7
54023_b,900,-10900,23,14,110,4,3,7
54023_b,6000,-9050,81,14,107,5,2,7
56784_c,16150,-8700,19,14,29,4,3,7
56784_c,16200,-8750,36,14,51,5,2,7
56784_c,16350,-8800,52,14,53,5,2,7
54023_b,900,-10850,31,13,145,4,3,7
54023_b,950,-10600,27,13,164,3,4,7
54023_b,6100,-8950,87,13,107,5,2,7
54023_b,6100,-8900,120,13,94,5,2,7
56784_c,13550,-9150,23,13,112,4,3,7
56784_c,15650,-8900,39,13,62,4,3,7
56784_c,16250,-8750,36,13,50,5,2,7
56784_c,16850,-9300,20,13,57,5,2,7
54023_b,850,-10850,66,12,135,4,3,7
54023_b,950,-10650,27,12,201,3,4,7
54023_b,6100,-9000,57,12,116,5,2,7
54023_b,6100,-8850,131,12,88,5,2,7
56784_c,13500,-9150,18,12,92,4,3,7
56784_c,15650,-9000,77,12,54,4,3,7
56784_c,15650,-8950,50,12,69,4,3,7
56784_c,15700,-9000,70,12,54,4,3,7
56784_c,15700,-8800,45,12,59,4,3,7
56784_c,16350,-8750,28,12,39,5,2,7
56784_c,16900,-9300,24,12,55,5,2,7
56784_c,16950,-9250,22,12,63,5,2,7
54023_b,850,-10900,62,11,109,4,3,7
54023_b,5850,-9100,88,11,109,5,2,7
54023_b,6700,-8900,23,11,135,5,2,7
56784_c,13750,-9750,20,11,32,3,4,7
56784_c,15650,-8850,38,11,52,4,3,7
56784_c,16950,-9200,22,11,70,5,2,7
54023_b,800,-10650,100,10,206,3,4,7
54023_b,850,-10650,90,10,226,3,4,7
54023_b,2050,-10350,47,10,119,5,2,7
54023_b,3200,-9700,209,10,107,5,2,7
54023_b,6750,-8900,15,10,101,5,2,7
54023_b,800,-10900,111,9,121,4,3,7
54023_b,800,-10850,114,9,128,4,3,7
54023_b,900,-10650,53,9,213,3,4,7
56784_c,16950,-9300,22,9,50,5,2,7
54023_b,5450,-9050,56,8,93,5,2,7
56784_c,15150,-9200,17,8,70,3,4,7
56784_c,15150,-9150,35,8,89,3,4,7
56784_c,15150,-9100,52,8,96,3,4,7
56784_c,15750,-9000,75,8,49,4,3,7
56784_c,17250,-9400,19,8,11,3,4,7
56784_c,17300,-9400,17,8,11,3,4,7
54023_b,900,-10600,45,7,186,3,4,7
54023_b,2150,-10500,52,7,116,5,2,7
54023_b,3250,-9900,171,7,126,5,2,7
54023_b,6500,-8850,35,7,116,5,2,7
56784_c,13650,-9850,52,7,41,4,3,7
56784_c,15100,-9200,34,7,53,3,4,7
56784_c,15100,-9150,58,7,70,3,4,7
56784_c,15100,-9100,76,7,76,3,4,7
54023_b,800,-10600,87,6,207,3,4,7
54023_b,2050,-10250,64,6,116,5,2,7
54023_b,3100,-9700,204,6,100,5,2,7
56784_c,13600,-10200,34,6,32,4,3,7
56784_c,13700,-9850,49,6,24,4,3,7
56784_c,17200,-9400,15,6,10,3,4,7
54023_b,850,-10600,78,5,210,3,4,7
54023_b,2100,-10250,69,5,128,5,2,7
56784_c,13450,-9150,16,5,57,4,3,7
56784_c,13600,-10250,19,5,24,4,3,7
56784_c,13650,-9800,38,5,49,4,3,7
56784_c,13700,-9800,36,5,37,4,3,7
56784_c,18300,-8700,20,33,64,4,2,6
56784_c,13550,-9450,18,32,72,3,3,6
56784_c,18150,-9050,33,30,86,3,3,6
56784_c,16100,-8450,30,28,74,3,3,6
56784_c,18200,-9050,43,28,93,3,3,6
56784_c,13550,-9500,18,27,80,3,3,6
56784_c,16300,-8450,24,26,69,3,3,6
56784_c,18150,-9000,33,26,77,3,3,6
56784_c,13300,-9650,23,25,34,4,2,6
56784_c,16050,-8400,21,25,69,3,3,6
56784_c,18350,-8700,25,25,76,4,2,6
54023_b,2400,-10250,38,24,132,3,3,6
56784_c,13400,-9800,18,24,56,4,2,6
56784_c,16250,-8450,28,24,75,3,3,6
56784_c,13400,-9850,18,23,57,4,2,6
56784_c,16050,-9100,30,23,92,3,3,6
56784_c,16100,-9100,31,23,109,3,3,6
56784_c,16300,-8500,25,23,57,3,3,6
56784_c,18250,-8650,17,23,64,4,2,6
54023_b,5950,-9150,48,22,122,3,3,6
56784_c,15950,-8700,17,22,47,3,3,6
56784_c,18200,-9000,42,22,84,3,3,6
56784_c,18300,-8650,23,22,63,4,2,6
56784_c,18400,-8750,16,22,68,4,2,6
54023_b,2450,-10200,16,21,136,3,3,6
54023_b,6000,-9150,32,21,132,3,3,6
56784_c,16250,-8500,33,21,65,3,3,6
56784_c,17150,-8850,29,21,63,4,2,6
54023_b,5900,-9150,54,20,118,3,3,6
56784_c,17200,-9050,63,20,78,3,3,6
54023_b,4350,-9550,81,19,106,5,1,6
56784_c,16750,-9300,15,19,59,5,1,6
56784_c,17200,-9100,60,19,82,3,3,6
56784_c,17250,-8800,24,19,69,4,2,6
56784_c,18400,-8700,34,19,75,4,2,6
54023_b,4500,-9650,20,18,87,5,1,6
56784_c,17150,-8800,20,18,62,4,2,6
56784_c,17200,-8850,31,18,68,4,2,6
54023_b,1950,-10100,48,17,116,4,2,6
54023_b,4400,-9550,54,17,91,5,1,6
56784_c,13450,-9800,20,17,62,4,2,6
56784_c,13800,-9150,19,17,66,4,2,6
56784_c,17200,-8800,23,17,72,4,2,6
56784_c,17250,-8950,45,17,61,4,2,6
56784_c,17250,-8900,35,17,55,4,2,6
56784_c,13450,-9850,21,16,65,4,2,6
56784_c,13700,-9150,27,16,116,4,2,6
56784_c,17250,-9000,57,16,69,4,2,6
54023_b,2050,-10450,29,15,107,5,1,6
56784_c,13900,-9350,15,15,77,3,3,6
56784_c,14200,-8800,21,15,64,3,3,6
56784_c,15400,-9150,34,15,113,3,3,6
56784_c,16300,-8550,26,15,52,3,3,6
56784_c,17000,-9200,19,15,70,3,3,6
54023_b,4050,-9700,32,14,136,5,1,6
54023_b,4300,-9550,81,14,100,5,1,6
54023_b,4350,-9600,114,14,102,5,1,6
56784_c,14200,-8850,18,14,65,3,3,6
56784_c,15350,-9150,36,14,120,3,3,6
56784_c,15450,-9150,52,14,89,3,3,6
56784_c,16000,-8950,96,14,112,4,2,6
56784_c,16050,-8750,43,14,58,3,3,6
54023_b,4400,-9600,75,13,92,5,1,6
54023_b,5950,-9100,66,13,121,4,2,6
56784_c,13750,-9150,24,13,89,4,2,6
56784_c,16250,-8550,34,13,57,3,3,6
56784_c,16300,-8600,29,13,40,3,3,6
54023_b,2050,-10400,35,12,116,5,1,6
54023_b,2100,-10450,46,12,116,5,1,6
54023_b,5650,-9150,44,12,97,3,3,6
56784_c,13500,-9900,55,12,67,4,2,6
56784_c,15600,-9000,71,12,54,4,2,6
56784_c,15600,-8950,40,12,61,4,2,6
56784_c,17000,-9250,19,12,63,3,3,6
56784_c,18350,-8650,32,12,69,4,2,6
54023_b,4100,-9700,53,11,132,5,1,6
54023_b,4200,-9550,59,11,68,5,1,6
54023_b,4300,-9600,113,11,109,5,1,6
54023_b,5900,-9100,72,11,123,4,2,6
56784_c,15300,-9150,36,11,110,3,3,6
56784_c,18400,-8650,38,11,66,4,2,6
54023_b,4200,-9600,98,10,94,5,1,6
54023_b,4250,-9550,81,10,78,5,1,6
56784_c,16250,-8600,30,10,43,3,3,6
56784_c,18250,-8600,23,10,67,4,2,6
54023_b,2050,-10100,54,9,129,4,2,6
54023_b,2100,-10400,52,9,132,5,1,6
54023_b,6450,-9100,66,9,123,4,2,6
56784_c,13300,-9400,30,9,81,3,3,6
56784_c,15250,-9200,21,9,87,3,3,6
56784_c,15250,-9150,42,9,112,3,3,6
56784_c,15600,-8900,28,9,57,4,2,6
56784_c,18300,-8600,30,9,66,4,2,6
54023_b,4000,-9800,55,8,124,5,1,6
54023_b,4050,-9750,59,8,132,5,1,6
54023_b,4100,-9750,82,8,138,5,1,6
54023_b,4150,-9700,105,8,111,5,1,6
54023_b,4250,-9600,121,8,94,5,1,6
54023_b,6250,-9050,57,8,150,4,2,6
54023_b,6250,-8950,64,8,141,4,2,6
54023_b,6250,-8900,72,8,118,4,2,6
54023_b,6350,-9050,84,8,134,4,2,6
54023_b,6350,-8950,44,8,110,4,2,6
54023_b,6350,-8900,39,8,93,4,2,6
56784_c,13550,-9900,71,8,62,4,2,6
54023_b,2000,-10100,47,7,119,4,2,6
54023_b,2150,-10150,71,7,160,4,2,6
54023_b,3250,-9750,230,7,107,5,1,6
54023_b,4000,-9850,67,7,103,5,1,6
54023_b,4000,-9750,41,7,133,5,1,6
54023_b,4050,-9800,73,7,123,5,1,6
54023_b,4100,-9800,96,7,137,5,1,6
54023_b,6300,-9050,84,7,140,4,2,6
54023_b,6300,-8950,70,7,116,4,2,6
54023_b,6300,-8900,67,7,96,4,2,6
56784_c,14400,-8600,54,7,51,5,1,6
56784_c,15600,-8850,27,7,51,4,2,6
54023_b,4000,-9900,84,6,79,5,1,6
54023_b,4050,-9850,78,6,95,5,1,6
54023_b,4100,-9900,106,6,77,5,1,6
54023_b,4100,-9850,97,6,106,5,1,6
54023_b,6250,-9000,68,6,146,4,2,6
54023_b,6350,-9000,67,6,119,4,2,6
56784_c,13600,-9900,69,6,46,4,2,6
54023_b,4050,-9900,93,5,65,5,1,6
54023_b,6300,-9000,90,5,126,4,2,6
56784_c,14350,-8600,43,5,36,5,1,6
56784_c,14400,-8550,34,5,31,5,1,6
54023_b,1900,-10050,34,35,109,2,3,5
56784_c,17450,-9150,16,30,118,2,3,5
54023_b,3000,-10050,79,28,188,3,2,5
54023_b,1500,-10500,49,27,101,3,2,5
54023_b,3150,-10050,72,26,199,3,2,5
54023_b,3200,-10050,72,26,174,3,2,5
56784_c,17300,-9150,63,26,112,3,2,5
56784_c,17450,-9200,23,26,103,2,3,5
56784_c,17250,-9150,65,25,95,3,2,5
56784_c,17350,-9150,56,25,110,3,2,5
56784_c,17450,-9250,21,25,83,2,3,5
54023_b,1950,-10050,61,24,106,2,3,5
56784_c,16050,-8450,21,24,67,2,3,5
56784_c,16350,-8450,15,24,59,2,3,5
54023_b,3050,-10050,91,22,185,3,2,5
56784_c,13300,-10050,26,22,68,3,2,5
56784_c,13350,-10050,35,22,88,3,2,5
56784_c,16150,-9100,32,22,114,3,2,5
54023_b,3150,-10000,106,21,170,3,2,5
54023_b,3200,-10000,102,21,157,3,2,5
56784_c,15950,-8600,16,21,44,3,2,5
56784_c,13300,-10150,24,20,65,3,2,5
56784_c,13300,-10100,25,20,72,3,2,5
56784_c,15950,-8650,16,20,51,3,2,5
56784_c,16350,-8500,17,20,48,2,3,5
56784_c,17300,-8850,31,20,53,3,2,5
56784_c,18550,-9250,26,20,102,3,2,5
56784_c,15500,-9000,57,19,69,3,2,5
56784_c,15500,-8950,35,19,61,3,2,5
56784_c,17100,-9150,28,19,74,3,2,5
56784_c,18300,-8950,41,19,60,4,1,5
56784_c,18550,-9300,21,19,77,3,2,5
56784_c,18550,-9150,57,19,116,2,3,5
56784_c,18750,-8950,16,19,34,3,2,5
54023_b,1950,-10200,39,18,145,3,2,5
56784_c,15400,-9000,44,18,79,3,2,5
56784_c,15450,-9000,59,18,76,3,2,5
56784_c,18450,-9150,51,18,75,4,1,5
54023_b,1950,-10250,22,17,155,3,2,5
54023_b,2000,-10050,59,17,116,2,3,5
54023_b,2050,-10500,20,17,112,3,2,5
54023_b,2450,-10300,16,17,118,2,3,5
56784_c,13300,-10200,22,17,60,3,2,5
56784_c,13850,-8700,21,17,52,2,3,5
56784_c,13900,-8700,28,17,57,2,3,5
56784_c,15350,-9000,47,17,76,3,2,5
56784_c,15400,-8950,42,17,61,3,2,5
56784_c,15450,-8950,49,17,56,3,2,5
56784_c,17150,-9150,64,17,81,3,2,5
56784_c,17200,-9000,55,17,73,3,2,5
56784_c,17450,-9300,17,17,67,2,3,5
56784_c,18250,-8950,29,17,59,4,1,5
54023_b,2050,-10050,60,16,128,2,3,5
56784_c,17050,-9200,24,16,70,3,2,5
56784_c,17200,-8950,43,16,68,3,2,5
54023_b,1950,-10150,45,15,135,3,2,5
54023_b,2400,-10350,42,15,115,2,3,5
54023_b,3200,-9950,144,15,123,3,2,5
56784_c,14850,-9000,26,15,45,4,1,5
56784_c,15350,-8950,45,15,57,3,2,5
56784_c,15400,-9050,46,15,102,3,2,5
56784_c,15450,-9050,68,15,87,3,2,5
56784_c,15500,-9050,72,15,80,3,2,5
56784_c,18350,-8950,59,15,55,4,1,5
56784_c,18450,-9000,59,15,59,4,1,5
56784_c,18600,-8950,25,15,56,3,2,5
54023_b,3000,-9650,140,14,154,3,2,5
54023_b,5800,-9150,75,14,84,3,2,5
56784_c,15350,-9050,49,14,106,3,2,5
56784_c,16150,-8750,39,14,53,3,2,5
56784_c,17100,-9200,35,14,72,3,2,5
56784_c,17200,-8900,33,14,64,3,2,5
56784_c,18400,-9150,59,14,88,4,1,5
56784_c,18450,-9050,61,14,66,4,1,5
54023_b,2100,-10500,32,13,120,3,2,5
54023_b,2150,-10000,89,13,172,4,1,5
54023_b,2950,-9650,97,13,163,3,2,5
54023_b,3150,-9950,167,13,120,3,2,5
54023_b,6650,-9050,22,13,109,3,2,5
56784_c,13850,-8650,23,13,48,2,3,5
56784_c,13900,-8650,29,13,47,2,3,5
56784_c,13950,-8700,32,13,62,2,3,5
56784_c,16900,-9150,15,13,66,3,2,5
56784_c,18400,-9050,76,13,84,4,1,5
56784_c,18450,-9100,65,13,72,4,1,5
54023_b,850,-10950,46,12,105,3,2,5
54023_b,2400,-10400,36,12,91,2,3,5
56784_c,13500,-9950,77,12,75,4,1,5
56784_c,16350,-8550,18,12,46,2,3,5
56784_c,17050,-9250,24,12,59,3,2,5
56784_c,17450,-9350,15,12,39,2,3,5
56784_c,18400,-9100,76,12,86,4,1,5
56784_c,18400,-9000,73,12,74,4,1,5
56784_c,18550,-9100,67,12,103,2,3,5
54023_b,2100,-10100,46,11,154,4,1,5
56784_c,14450,-8700,52,11,75,4,1,5
56784_c,14900,-9000,47,11,34,4,1,5
56784_c,15400,-9100,44,11,115,3,2,5
56784_c,15450,-9100,64,11,97,3,2,5
56784_c,16200,-8650,18,11,38,2,3,5
56784_c,16350,-8600,22,11,34,2,3,5
56784_c,17100,-9250,32,11,59,3,2,5
56784_c,18450,-8950,58,11,46,4,1,5
56784_c,14450,-8650,57,10,74,4,1,5
56784_c,14850,-9050,26,10,29,4,1,5
56784_c,15350,-9100,46,10,123,3,2,5
54023_b,800,-10950,93,9,128,3,2,5
54023_b,2100,-10150,56,9,148,3,2,5
54023_b,5200,-8900,24,9,41,3,2,5
54023_b,5600,-9150,47,9,104,2,3,5
54023_b,5750,-9100,79,9,92,3,2,5
54023_b,5900,-8850,46,9,79,4,1,5
54023_b,5950,-8850,58,9,80,4,1,5
54023_b,6650,-9100,16,9,96,3,2,5
56784_c,13850,-8600,22,9,42,2,3,5
56784_c,13900,-8600,28,9,40,2,3,5
56784_c,15300,-9000,51,9,63,3,2,5
56784_c,15500,-9100,76,9,88,3,2,5
56784_c,18400,-8950,64,9,51,4,1,5
56784_c,19250,-8650,41,9,21,4,1,5
54023_b,5450,-9000,56,8,94,4,1,5
54023_b,5750,-9000,76,8,99,3,2,5
56784_c,13550,-9950,91,8,66,4,1,5
56784_c,13950,-8650,33,8,49,2,3,5
56784_c,15300,-9100,46,8,105,3,2,5
56784_c,15300,-8950,47,8,45,3,2,5
56784_c,19300,-8650,61,8,20,4,1,5
56784_c,19350,-8650,60,8,19,4,1,5
54023_b,2000,-10250,44,7,125,3,2,5
54023_b,2050,-10150,64,7,123,3,2,5
54023_b,5550,-9100,69,7,97,4,1,5
54023_b,5750,-9050,79,7,99,3,2,5
54023_b,6250,-8850,83,7,92,3,2,5
56784_c,14900,-9050,52,7,20,4,1,5
54023_b,300,-10800,19,6,191,4,1,5
54023_b,2000,-10200,54,6,125,3,2,5
54023_b,2000,-10150,48,6,130,3,2,5
54023_b,5500,-9100,60,6,93,4,1,5
54023_b,5750,-8950,59,6,86,3,2,5
54023_b,5750,-8900,34,6,73,3,2,5
54023_b,6300,-8850,73,6,77,3,2,5
54023_b,6500,-9100,48,6,99,3,2,5
56784_c,13600,-9950,88,6,45,4,1,5
56784_c,13950,-8600,33,6,39,2,3,5
56784_c,14450,-8600,53,6,60,4,1,5
56784_c,14450,-8550,33,6,43,4,1,5
56784_c,14850,-9100,25,6,24,4,1,5
56784_c,15300,-9050,55,6,92,3,2,5
56784_c,17150,-9350,23,6,25,2,3,5
56784_c,17150,-9300,37,6,41,2,3,5
56784_c,19400,-8650,48,6,15,4,1,5
54023_b,350,-10800,20,5,156,4,1,5
54023_b,2050,-10200,71,5,116,3,2,5
54023_b,2100,-10200,67,5,140,3,2,5
54023_b,6350,-8850,40,5,78,3,2,5
54023_b,6550,-9100,26,5,101,3,2,5
54023_b,6600,-9100,19,5,97,3,2,5
54023_b,1750,-10100,20,65,169,3,1,4
54023_b,1700,-10100,15,62,170,3,1,4
54023_b,3000,-10100,33,34,218,2,2,4
54023_b,1500,-10350,15,32,60,2,2,4
54023_b,2200,-9650,17,32,168,2,2,4
54023_b,1500,-10400,35,31,75,2,2,4
56784_c,16100,-8350,19,31,72,2,2,4
54023_b,3050,-10100,31,30,212,2,2,4
54023_b,3200,-10100,20,30,189,2,2,4
54023_b,1900,-10100,30,29,119,2,2,4
56784_c,16050,-8350,18,29,72,2,2,4
54023_b,1500,-10450,36,28,88,2,2,4
54023_b,5600,-9350,16,28,59,2,2,4
56784_c,18100,-9050,26,28,77,2,2,4
56784_c,18150,-9100,31,28,93,2,2,4
56784_c,18750,-9250,15,27,103,1,3,4
54023_b,2150,-9650,21,26,146,2,2,4
56784_c,18200,-9100,42,26,97,2,2,4
56784_c,16150,-8350,19,25,66,2,2,4
56784_c,16700,-9200,25,25,106,2,2,4
56784_c,18000,-9050,18,25,77,2,2,4
56784_c,18050,-9050,21,25,73,2,2,4
56784_c,18150,-9150,22,25,93,2,2,4
56784_c,16200,-8400,26,24,67,2,2,4
56784_c,18000,-9000,21,24,65,2,2,4
56784_c,18100,-9000,28,24,66,2,2,4
56784_c,18200,-9200,18,24,77,2,2,4
56784_c,18250,-9200,20,24,77,2,2,4
56784_c,18600,-8750,41,24,84,2,2,4
56784_c,18700,-9250,23,24,111,1,3,4
54023_b,5600,-9300,30,23,67,2,2,4
56784_c,17300,-8650,24,23,85,2,2,4
56784_c,18200,-9150,35,23,98,2,2,4
56784_c,18650,-8750,44,23,76,2,2,4
56784_c,18000,-8950,21,22,65,2,2,4
56784_c,18050,-9000,24,22,60,2,2,4
56784_c,18100,-8950,26,22,62,2,2,4
56784_c,18600,-8700,63,22,76,2,2,4
56784_c,18750,-9300,15,22,74,1,3,4
54023_b,4350,-9500,46,21,100,4,0,4
56784_c,17250,-8650,25,21,99,2,2,4
