sample,x0,y0,n_chol,n_cd8t23,n_cd8t1,chol_with_cd23,cd23_with_chol,score
54023_b,5150,-9100,40,28,38,11,10,21
54023_b,2200,-10000,80,24,163,12,9,21
54023_b,5400,-9250,97,24,98,15,6,21
56784_c,13650,-9200,48,22,138,14,7,21
54023_b,5450,-9250,100,19,106,14,7,21
54023_b,5350,-9050,92,17,90,13,8,21
54023_b,5300,-9300,45,41,94,11,9,20
54023_b,5200,-9200,45,35,41,11,9,20
56784_c,13500,-9550,43,30,104,11,9,20
56784_c,16300,-9050,31,29,89,13,7,20
56784_c,13500,-9600,43,28,102,11,9,20
56784_c,13750,-9400,46,27,78,13,7,20
56784_c,16350,-8850,66,19,73,14,6,20
56784_c,13600,-9200,46,18,142,13,7,20
56784_c,16100,-8900,100,15,117,13,7,20
54023_b,5450,-9200,99,13,97,13,7,20
54023_b,5400,-9200,99,12,91,14,6,20
54023_b,5400,-9150,96,10,86,14,6,20
54023_b,5450,-9150,93,10,94,13,7,20
54023_b,2250,-10350,107,6,115,16,4,20
54023_b,2150,-10300,108,5,118,16,4,20
54023_b,4150,-9850,147,5,89,17,3,20
54023_b,5200,-9250,41,38,45,11,8,19
54023_b,5450,-9350,50,37,79,11,8,19
54023_b,2200,-9750,104,34,214,13,6,19
54023_b,4500,-9750,59,34,121,12,7,19
54023_b,1450,-10500,72,26,126,12,7,19
56784_c,13700,-9250,57,25,121,13,6,19
56784_c,13800,-9250,51,23,95,13,6,19
56784_c,16100,-8950,109,18,125,13,6,19
54023_b,4500,-9950,77,16,88,11,8,19
54023_b,4400,-9650,104,15,98,15,4,19
54023_b,2200,-10200,96,12,135,11,8,19
54023_b,4350,-9650,158,11,96,15,4,19
54023_b,2200,-10300,119,8,111,15,4,19
54023_b,2200,-10350,118,6,117,15,4,19
54023_b,4300,-9700,189,6,108,15,4,19
54023_b,4150,-9800,156,5,116,16,3,19
54023_b,1300,-10550,60,33,119,12,6,18
54023_b,1400,-10550,100,26,123,12,6,18
54023_b,2250,-9950,110,24,155,13,5,18
54023_b,1300,-10600,79,23,131,12,6,18
54023_b,1350,-10550,79,23,120,12,6,18
54023_b,4450,-9700,78,23,118,13,5,18
54023_b,1400,-10600,104,22,115,12,6,18
54023_b,2300,-9950,87,22,180,13,5,18
54023_b,2200,-9950,117,21,153,13,5,18
56784_c,13850,-9350,36,21,86,12,6,18
54023_b,5250,-9000,62,20,87,11,7,18
56784_c,13850,-9300,35,20,81,12,6,18
56784_c,16100,-9000,75,20,114,12,6,18
54023_b,2350,-9950,79,17,186,13,5,18
54023_b,5300,-9000,83,17,93,11,7,18
54023_b,5350,-9000,87,17,97,11,7,18
54023_b,1350,-10600,92,16,124,12,6,18
54023_b,2150,-9800,151,16,181,13,5,18
54023_b,2300,-10300,87,15,109,12,6,18
54023_b,2150,-9850,187,14,158,13,5,18
54023_b,2150,-10350,102,5,129,14,4,18
54023_b,4400,-10000,115,5,64,13,5,18
54023_b,1300,-10450,27,42,126,10,7,17
54023_b,2300,-9750,39,41,267,12,5,17
54023_b,2250,-9750,84,37,256,12,5,17
54023_b,1250,-10600,61,32,114,11,6,17
56784_c,13550,-9350,33,31,88,11,6,17
56784_c,18650,-9150,52,30,107,8,9,17
54023_b,1350,-10450,40,29,128,10,7,17
56784_c,13700,-9400,39,29,74,11,6,17
54023_b,1400,-10450,61,27,125,10,7,17
54023_b,5200,-9050,45,27,52,10,7,17
56784_c,13550,-9300,34,27,103,11,6,17
54023_b,2300,-10100,49,25,156,9,8,17
54023_b,5500,-9300,77,25,90,12,5,17
56784_c,13800,-9400,46,25,89,11,6,17
56784_c,18700,-9150,48,25,118,8,9,17
54023_b,2350,-10100,49,24,155,9,8,17
56784_c,13500,-9650,38,24,92,10,7,17
56784_c,13550,-9250,34,24,117,11,6,17
56784_c,18650,-9100,49,24,93,8,9,17
54023_b,2250,-10100,54,23,150,9,8,17
54023_b,2400,-10100,36,23,149,9,8,17
56784_c,18700,-9100,44,23,106,8,9,17
54023_b,2350,-10300,77,18,117,12,5,17
54023_b,2400,-10000,47,18,166,9,8,17
56784_c,15800,-8850,69,15,62,11,6,17
54023_b,850,-11050,52,14,105,12,5,17
54023_b,800,-11050,69,13,120,12,5,17
56784_c,15800,-8900,78,13,62,11,6,17
54023_b,4200,-9700,170,11,106,13,4,17
54023_b,6450,-8950,58,10,95,11,6,17
54023_b,6450,-9000,68,9,94,11,6,17
56784_c,15800,-8950,82,8,63,11,6,17
54023_b,2250,-10400,97,6,118,14,3,17
54023_b,4550,-9750,40,47,109,9,7,16
54023_b,1250,-10500,26,43,105,10,6,16
54023_b,5350,-9350,37,41,82,10,6,16
54023_b,1250,-10550,45,39,100,11,5,16
54023_b,5400,-9350,46,37,83,10,6,16
54023_b,5150,-9200,34,34,39,8,8,16
54023_b,5500,-9350,45,34,81,10,6,16
54023_b,1450,-10650,66,31,112,11,5,16
56784_c,13450,-9600,45,29,93,9,7,16
54023_b,1400,-10650,83,28,105,11,5,16
54023_b,2400,-10200,41,27,136,7,9,16
56784_c,16350,-9050,26,27,84,11,5,16
56784_c,13450,-9550,45,26,98,9,7,16
54023_b,1300,-10650,79,24,110,11,5,16
56784_c,16350,-9000,51,23,85,11,5,16
54023_b,1450,-10550,91,22,126,11,5,16
56784_c,16150,-9050,49,22,118,11,5,16
54023_b,1450,-10600,87,21,123,11,5,16
54023_b,4550,-9950,48,21,78,7,9,16
54023_b,2300,-10150,67,20,139,8,8,16
56784_c,13450,-10200,59,20,80,10,6,16
54023_b,1350,-10650,86,19,106,11,5,16
54023_b,2250,-10150,81,18,133,8,8,16
56784_c,16200,-8800,83,17,74,13,3,16
56784_c,16100,-8850,80,16,101,11,5,16
56784_c,16250,-8800,77,16,72,13,3,16
54023_b,2150,-9900,168,14,145,12,4,16
56784_c,15750,-8900,72,14,55,10,6,16
56784_c,15750,-8850,62,14,49,10,6,16
56784_c,15750,-8950,72,12,60,10,6,16
54023_b,2300,-10350,96,10,108,11,5,16
54023_b,5400,-9100,102,10,84,12,4,16
54023_b,4300,-9650,162,7,101,13,3,16
54023_b,2200,-10400,111,6,129,13,3,16
54023_b,4250,-9700,196,6,102,12,4,16
54023_b,4450,-10000,90,6,64,10,6,16
54023_b,2350,-9750,20,39,274,11,4,15
54023_b,5200,-9300,30,36,56,8,7,15
54023_b,1250,-10650,61,29,104,10,5,15
54023_b,5150,-9250,33,29,48,8,7,15
54023_b,1450,-10450,58,26,120,9,6,15
54023_b,2150,-9750,116,26,188,10,5,15
54023_b,2250,-10050,79,22,144,8,7,15
54023_b,2300,-10050,80,22,157,8,7,15
54023_b,2350,-10150,67,22,141,8,7,15
56784_c,13450,-10250,33,20,76,9,6,15
54023_b,2350,-10050,77,19,159,8,7,15
54023_b,2400,-10050,51,18,154,8,7,15
54023_b,5250,-8950,52,17,83,10,5,15
54023_b,5350,-8950,82,17,92,10,5,15
54023_b,5500,-9250,85,17,106,11,4,15
54023_b,2300,-10250,87,15,112,10,5,15
54023_b,5300,-8950,77,15,88,10,5,15
56784_c,13550,-9200,36,15,118,10,5,15
54023_b,850,-11100,39,13,99,11,4,15
54023_b,2350,-10350,82,13,108,11,4,15
54023_b,6600,-8900,45,12,138,11,4,15
56784_c,15900,-8950,95,12,80,10,5,15
54023_b,800,-11100,56,11,107,11,4,15
54023_b,6450,-8900,47,11,98,10,5,15
54023_b,4300,-9750,178,8,116,11,4,15
54023_b,2250,-10250,106,7,112,12,3,15
54023_b,1300,-10350,26,50,127,7,7,14
54023_b,1300,-10400,23,47,140,7,7,14
56784_c,13600,-9400,31,32,67,10,4,14
56784_c,13350,-9600,48,31,66,8,6,14
56784_c,13400,-9600,48,30,75,8,6,14
56784_c,13350,-9550,50,27,78,8,6,14
56784_c,13400,-9550,50,26,83,8,6,14
56784_c,18600,-9150,51,26,108,7,7,14
54023_b,5550,-9300,62,24,77,10,4,14
56784_c,13500,-9350,25,24,87,9,5,14
56784_c,13850,-9250,28,24,74,10,4,14
56784_c,18750,-9150,36,24,103,7,7,14
56784_c,15900,-8750,45,23,65,9,5,14
54023_b,2350,-10250,82,22,117,10,4,14
56784_c,13400,-10200,48,22,80,9,5,14
56784_c,13500,-9300,26,22,94,9,5,14
56784_c,18750,-9100,32,22,91,7,7,14
56784_c,13500,-9700,29,21,83,7,7,14
54023_b,2200,-10100,46,20,167,7,7,14
54023_b,2200,-10050,71,20,164,7,7,14
56784_c,13450,-9350,32,20,95,9,5,14
56784_c,13500,-9250,25,20,104,9,5,14
56784_c,15900,-8850,73,20,83,9,5,14
56784_c,15900,-8800,68,20,75,9,5,14
56784_c,16300,-8800,68,19,65,11,3,14
56784_c,18600,-9100,56,19,99,7,7,14
56784_c,13450,-9300,33,18,92,9,5,14
56784_c,15900,-8900,82,17,76,9,5,14
56784_c,16150,-8800,76,17,72,11,3,14
56784_c,13450,-9250,31,15,86,9,5,14
56784_c,13500,-9750,33,13,78,8,6,14
54023_b,6450,-9050,78,11,112,9,5,14
54023_b,6600,-8800,67,9,128,10,4,14
54023_b,6650,-8800,53,9,117,10,4,14
56784_c,15000,-9050,86,7,46,9,5,14
56784_c,15050,-9050,100,7,65,9,5,14
54023_b,1300,-10300,26,49,119,7,6,13
54023_b,1250,-10450,25,45,105,8,5,13
54023_b,2200,-9700,59,36,201,9,4,13
54023_b,5550,-9350,33,31,69,8,5,13
56784_c,16400,-8950,29,29,84,7,6,13
54023_b,2150,-9700,70,28,179,9,4,13
56784_c,13450,-9650,38,27,80,8,5,13
54023_b,4500,-9700,44,26,104,9,4,13
56784_c,13500,-9400,31,25,85,8,5,13
54023_b,2400,-10150,42,24,144,6,7,13
56784_c,18700,-9050,34,24,85,7,6,13
56784_c,13450,-10150,71,23,91,8,5,13
56784_c,15850,-8800,59,23,80,8,5,13
56784_c,16750,-9150,31,23,87,8,5,13
56784_c,18650,-9050,35,23,71,7,6,13
54023_b,5200,-9000,39,22,58,7,6,13
56784_c,13400,-10250,26,22,83,8,5,13
56784_c,13450,-9400,42,22,104,8,5,13
56784_c,13750,-9450,33,22,65,8,5,13
56784_c,15850,-8850,63,22,81,8,5,13
56784_c,18650,-9000,31,22,59,7,6,13
56784_c,18700,-9000,30,21,63,7,6,13
56784_c,13450,-10300,18,20,43,8,5,13
56784_c,13650,-9650,24,20,75,6,7,13
56784_c,13700,-9200,40,20,125,9,4,13
56784_c,13800,-9450,37,20,76,8,5,13
56784_c,13850,-9400,34,19,85,8,5,13
56784_c,15850,-8900,72,19,78,8,5,13
56784_c,13650,-9700,29,18,71,6,7,13
56784_c,13750,-9200,37,17,99,9,4,13
56784_c,17200,-9250,54,17,65,7,6,13
54023_b,2200,-10150,71,16,149,6,7,13
56784_c,13850,-9450,33,16,73,8,5,13
56784_c,15800,-8800,58,16,71,8,5,13
56784_c,13500,-10250,32,14,54,8,5,13
56784_c,13500,-10200,57,14,60,8,5,13
56784_c,13550,-10250,26,14,50,8,5,13
56784_c,13550,-10200,45,14,54,8,5,13
56784_c,16100,-8800,75,13,73,10,3,13
54023_b,2350,-10400,75,12,98,9,4,13
56784_c,13500,-10300,18,12,30,8,5,13
56784_c,15850,-8950,78,11,82,8,5,13
54023_b,2300,-10400,92,10,107,9,4,13
54023_b,6600,-8850,49,10,141,10,3,13
56784_c,13550,-10300,18,10,28,8,5,13
54023_b,750,-11050,64,9,104,10,3,13
54023_b,700,-11050,76,7,90,10,3,13
54023_b,750,-11100,54,7,84,10,3,13
54023_b,4200,-9750,171,7,123,9,4,13
54023_b,4250,-9650,170,7,94,10,3,13
54023_b,4500,-10000,61,7,56,8,5,13
54023_b,5450,-9100,92,7,94,10,3,13
56784_c,15000,-9000,79,6,35,8,5,13
56784_c,15050,-9000,101,6,47,8,5,13
54023_b,700,-11100,55,5,67,10,3,13
54023_b,6700,-8800,45,5,97,9,4,13
56784_c,18800,-9150,19,32,99,6,6,12
54023_b,5150,-9050,22,29,42,7,5,12
56784_c,13550,-9400,29,29,71,8,4,12
56784_c,18800,-9100,19,29,92,6,6,12
56784_c,13500,-9450,33,28,91,7,5,12
56784_c,15850,-8750,37,28,71,8,4,12
56784_c,13500,-9500,37,27,95,7,5,12
56784_c,13350,-9500,49,25,85,7,5,12
56784_c,13450,-9500,43,25,101,7,5,12
56784_c,16750,-9100,27,25,89,7,5,12
56784_c,17350,-9300,40,25,60,6,6,12
56784_c,13450,-9450,43,24,106,7,5,12
56784_c,17300,-9300,40,24,63,6,6,12
54023_b,1800,-9900,31,22,68,7,5,12
56784_c,16150,-8500,50,22,69,6,6,12
56784_c,15950,-8750,51,21,67,7,5,12
56784_c,16800,-9150,31,21,81,7,5,12
56784_c,17250,-9300,43,21,55,6,6,12
54023_b,950,-10800,24,19,186,6,6,12
54023_b,1700,-9900,24,19,52,7,5,12
54023_b,5550,-9250,68,19,98,9,3,12
56784_c,15950,-8850,79,19,89,7,5,12
56784_c,16150,-8550,53,19,59,6,6,12
56784_c,13350,-9450,48,18,98,7,5,12
56784_c,15950,-8800,71,18,79,7,5,12
56784_c,17200,-9200,62,18,82,7,5,12
54023_b,1750,-9900,29,17,64,7,5,12
54023_b,5200,-8950,35,17,55,7,5,12
56784_c,17350,-9350,31,17,39,6,6,12
54023_b,900,-10800,39,16,184,6,6,12
56784_c,16150,-8600,37,16,49,6,6,12
56784_c,17300,-9350,32,16,41,6,6,12
54023_b,850,-10800,70,15,182,6,6,12
54023_b,1000,-10750,15,15,202,6,6,12
56784_c,15750,-8800,55,15,60,7,5,12
56784_c,15950,-8900,90,15,84,7,5,12
54023_b,950,-10750,25,14,204,6,6,12
56784_c,17250,-9350,34,14,35,6,6,12
54023_b,5550,-9200,72,13,100,9,3,12
56784_c,13500,-9200,27,13,98,8,4,12
54023_b,800,-10700,118,12,195,6,6,12
54023_b,850,-10700,96,12,223,6,6,12
54023_b,1000,-10700,15,12,216,6,6,12
54023_b,800,-10800,124,11,163,6,6,12
54023_b,850,-10750,63,11,216,6,6,12
54023_b,900,-10750,36,11,208,6,6,12
54023_b,950,-10700,32,11,213,6,6,12
54023_b,5500,-9200,76,11,95,9,3,12
54023_b,800,-10750,101,10,192,6,6,12
54023_b,900,-10700,53,10,215,6,6,12
54023_b,6600,-8950,42,10,120,8,4,12
54023_b,5550,-9150,66,9,104,9,3,12
54023_b,6600,-9000,37,9,116,8,4,12
54023_b,6500,-8950,46,8,93,8,4,12
54023_b,6550,-8950,40,8,110,8,4,12
56784_c,13450,-9200,30,8,66,8,4,12
54023_b,4250,-9750,179,7,112,8,4,12
54023_b,5500,-9150,70,7,95,9,3,12
54023_b,6500,-9000,51,7,86,8,4,12
54023_b,6550,-9000,35,7,106,8,4,12
56784_c,15050,-9200,39,7,44,7,5,12
56784_c,15050,-9150,66,7,61,7,5,12
56784_c,15050,-9100,84,7,67,7,5,12
54023_b,2200,-10250,118,6,115,10,2,12
54023_b,1650,-10050,21,60,145,8,3,11
54023_b,1700,-10050,25,60,149,8,3,11
54023_b,1750,-10050,31,59,155,8,3,11
54023_b,2300,-9700,26,46,267,8,3,11
54023_b,1650,-10000,24,42,125,8,3,11
54023_b,1700,-10000,34,40,132,8,3,11
54023_b,1750,-10000,40,40,130,8,3,11
54023_b,2250,-9700,45,40,249,8,3,11
54023_b,1350,-10350,31,37,129,6,5,11
54023_b,1350,-10400,34,33,143,6,5,11
54023_b,1650,-9950,24,32,86,8,3,11
54023_b,1700,-9950,35,31,91,8,3,11
56784_c,13350,-9650,30,31,43,7,4,11
54023_b,1750,-9950,41,29,94,8,3,11
56784_c,13400,-9650,36,29,55,7,4,11
54023_b,5150,-9300,25,28,61,5,6,11
56784_c,17300,-9250,52,28,87,5,6,11
