sample,x0,y0,n_hep,n_cd4,hep_with_cd4,cd4_with_hep,cd4_at_interface_frac,contact_frac
18321_a,1248.78463745117,-2324.14233398438,97,134,9,14,0.104477611940299,0.0927835051546392
18321_a,1248.78463745117,-2274.14233398438,76,87,7,9,0.103448275862069,0.0921052631578947
18321_a,1298.78463745117,-2574.14233398438,161,59,15,15,0.254237288135593,0.093167701863354
18321_a,1298.78463745117,-2524.14233398438,144,123,12,18,0.146341463414634,0.0833333333333333
18321_a,1298.78463745117,-2474.14233398438,123,187,10,20,0.106951871657754,0.0813008130081301
18321_a,1298.78463745117,-2424.14233398438,101,228,10,20,0.087719298245614,0.099009900990099
18321_a,1298.78463745117,-2374.14233398438,81,254,9,21,0.0826771653543307,0.111111111111111
18321_a,1298.78463745117,-2324.14233398438,73,209,9,14,0.0669856459330144,0.123287671232877
18321_a,1298.78463745117,-2274.14233398438,62,145,7,9,0.0620689655172414,0.112903225806452
18321_a,1348.78463745117,-2574.14233398438,124,62,20,21,0.338709677419355,0.161290322580645
18321_a,1348.78463745117,-2524.14233398438,108,127,18,25,0.196850393700787,0.166666666666667
18321_a,1348.78463745117,-2474.14233398438,85,202,16,27,0.133663366336634,0.188235294117647
18321_a,1348.78463745117,-2424.14233398438,67,252,16,27,0.107142857142857,0.238805970149254
18321_a,1398.78463745117,-2574.14233398438,118,60,20,20,0.333333333333333,0.169491525423729
18321_a,1398.78463745117,-2524.14233398438,101,123,16,20,0.16260162601626,0.158415841584158
18321_a,1398.78463745117,-2474.14233398438,79,197,17,22,0.111675126903553,0.215189873417722
18321_a,1448.78463745117,-2574.14233398438,123,45,18,12,0.266666666666667,0.146341463414634
18321_a,1448.78463745117,-2524.14233398438,116,87,14,12,0.137931034482759,0.120689655172414
18321_a,1448.78463745117,-2474.14233398438,106,140,15,14,0.1,0.141509433962264
18321_a,1448.78463745117,-2424.14233398438,91,187,13,13,0.0695187165775401,0.142857142857143
18321_a,1448.78463745117,-2374.14233398438,63,228,9,10,0.043859649122807,0.142857142857143
18321_a,1498.78463745117,-2524.14233398438,144,41,19,12,0.292682926829268,0.131944444444444
