sample,x0,y0,n_hep,n_cd4,n_interact_proxy,interact_frac
24774_d,15793.8946533203,-1402.76489257813,84,37,22,0.594594594594595
24774_d,15793.8946533203,-1352.76489257813,79,37,22,0.594594594594595
24774_d,15793.8946533203,-1302.76489257813,64,36,19,0.527777777777778
24774_d,15793.8946533203,-1002.76489257813,80,33,6,0.181818181818182
24774_d,15843.8946533203,-1502.76489257813,101,32,18,0.5625
24774_d,15843.8946533203,-1452.76489257813,83,37,22,0.594594594594595
24774_d,15843.8946533203,-1402.76489257813,76,37,22,0.594594594594595
24774_d,15843.8946533203,-1352.76489257813,65,37,22,0.594594594594595
24774_d,15843.8946533203,-1002.76489257813,63,65,6,0.0923076923076923
24774_d,15843.8946533203,-952.764892578125,64,51,6,0.117647058823529
24774_d,15893.8946533203,-1502.76489257813,103,32,18,0.5625
24774_d,15893.8946533203,-1452.76489257813,78,37,22,0.594594594594595
24774_d,15893.8946533203,-1402.76489257813,64,37,22,0.594594594594595
24774_d,15943.8946533203,-1502.76489257813,92,32,18,0.5625
24774_d,15943.8946533203,-1452.76489257813,69,37,22,0.594594594594595
24774_d,16043.8946533203,-1152.76489257813,77,44,12,0.272727272727273
24774_d,16043.8946533203,-1102.76489257813,81,104,18,0.173076923076923
24774_d,16043.8946533203,-1052.76489257813,72,175,28,0.16
24774_d,16093.8946533203,-1152.76489257813,83,32,12,0.375
24774_d,16093.8946533203,-1102.76489257813,91,79,18,0.227848101265823
24774_d,16093.8946533203,-1052.76489257813,87,140,28,0.2
24774_d,16093.8946533203,-1002.76489257813,73,187,55,0.294117647058824
24774_d,16143.8946533203,-1052.76489257813,80,66,16,0.242424242424242
24774_d,16143.8946533203,-1002.76489257813,74,104,20,0.192307692307692
24774_d,16193.8946533203,-1002.76489257813,68,39,17,0.435897435897436
24774_d,16193.8946533203,-952.764892578125,67,51,24,0.470588235294118
