from_label,to_label,irHep_enrichm,AIH_enrichm,delta_enrichm
Hepatocyte 2,Sinusoidal endothelial cell,0.504437311843077,0.17717718381134,0.327260128031737
CD8+ T cell 1,Macrophage 1,0.686146358443828,0.359471734880734,0.326674623563094
CD4+ T cell,Cholangiocyte,-0.455474557420062,-0.76342758264279,0.307953025222728
IgG+ plasmablast / plasma cell,Macrophage 1,-0.0850900830730769,-0.391900000761765,0.306809917688688
IgG+ B cell,Vascular endothelial cell,0.984892817103224,0.691963293518029,0.292929523585195
Hepatocyte 1,Macrophage 2,-1.18252259838886,-1.47015079875477,0.287628200365911
IgM+ B cell,Vascular endothelial cell,0.90922378520596,0.656180316120918,0.253043469085042
Hepatocyte 1,Sinusoidal endothelial cell,0.557625218627911,0.332805280287214,0.224819938340697
Cholangiocyte,Hepatocyte 2,-1.67124519085573,-1.8636299196163,0.192384728760565
Cholangiocyte,Hepatocyte 1,-1.65611263305158,-1.84420543636305,0.188092803311475
Macrophage 1,Stellate cell,-0.0370500143013546,-0.218520267454618,0.181470253153263
IgM+ B cell,Stellate cell,0.302229157281652,0.128909336574685,0.173319820706967
Hepatocyte 3,Sinusoidal endothelial cell,0.328425723401132,0.157788529085536,0.170637194315596
Hepatocyte 3,Stellate cell,-0.502778184776587,-0.670841572140411,0.168063387363824
Hepatocyte 2,Macrophage 2,-1.07893640380369,-1.24212039932745,0.163183995523754
CD8+ T cell 3,CD8+ T cell 3,2.61960612531475,2.46573651088505,0.153869614429698
Cholangiocyte,Stellate cell,-0.336831180837288,-0.469298207495507,0.132467026658218
CD4+ T cell,Ig+ hepatocyte,-0.799267048741156,-0.929496194507398,0.130229145766242
Macrophage 2,Vascular endothelial cell,0.3356316250393,0.208689295756601,0.126942329282699
Hepatocyte 4,IgG+ plasmablast / plasma cell,-1.63916294845095,-1.76609356478198,0.126930616331034
Hepatocyte 4,Sinusoidal endothelial cell,0.340176785488381,0.23605598539029,0.104120800098091
CD4+ T cell,CD8+ T cell 2,-1.56036768151138,-1.65325367626417,0.0928859947527942
Macrophage 2,Stellate cell,0.274333248198543,0.187771589533075,0.0865616586654684
Hepatocyte 4,Hepatocyte 4,2.96214582319472,2.88041971916801,0.0817261040267132
Hepatocyte 2,Ig+ hepatocyte,0.665065300425019,0.587000179071029,0.0780651213539895
CD8+ T cell 2,CD8+ T cell 2,1.8805241352003,1.81717994469157,0.0633441905087326
CD8+ T cell 1,Stellate cell,-0.0546220001334453,-0.0467274791310063,-0.00789452100243899
IgG+ B cell,IgG+ B cell,2.38524124524048,2.41924569501655,-0.0340044497760701
CD8+ T cell 3,IgG+ plasmablast / plasma cell,-0.337914437741425,-0.291862789229376,-0.0460516485120494
CD4+ T cell,Vascular endothelial cell,0.555214793249999,0.603157587819556,-0.0479427945695575
CD4+ T cell,Stellate cell,0.0973953868436439,0.14854947798053,-0.0511540911368862
Ig+ hepatocyte,Macrophage 1,-0.484638680361589,-0.432336532802531,-0.0523021475590577
Hepatocyte 2,IgM+ B cell,-3.01443029987638,-2.95842107585201,-0.0560092240243755
Cholangiocyte,IgG+ B cell,-0.30437709485691,-0.201545920922311,-0.102831173934599
CD8+ T cell 3,IgM+ B cell,-0.544536916753307,-0.438307806373581,-0.106229110379725
CD4+ T cell,Macrophage 1,-0.707922868675007,-0.598601784593009,-0.109321084081998
Cholangiocyte,Vascular endothelial cell,-0.245449168228327,-0.13514551694713,-0.110303651281197
CD8+ T cell 3,Ig+ hepatocyte,-0.383105054498898,-0.267479956891356,-0.115625097607541
Hepatocyte 3,IgG+ B cell,-1.00345542395381,-0.874297168274332,-0.129158255679478
Stellate cell,Stellate cell,0.856389390716513,0.986109193863844,-0.129719803147332
CD8+ T cell 3,Stellate cell,-0.413393428890726,-0.265670888722066,-0.14772254016866
Cholangiocyte,IgM+ B cell,-0.846645555015427,-0.677737378543015,-0.168908176472412
Cholangiocyte,Sinusoidal endothelial cell,-2.55811873596538,-2.33167239992508,-0.226446336040303
Vascular endothelial cell,Vascular endothelial cell,3.04318858538717,3.33310442202903,-0.289915836641855
Hepatocyte 4,Ig+ hepatocyte,0.160419635555383,0.483086862667376,-0.322667227111994
CD8+ T cell 1,Hepatocyte 4,-0.694785505219851,-0.360851622030971,-0.33393388318888
Macrophage 2,Sinusoidal endothelial cell,-0.90715562407902,-0.5021620707163,-0.40499355336272
Hepatocyte 4,Macrophage 1,-0.524189262890859,-0.118000027759344,-0.406189235131515
Hepatocyte 1,IgM+ B cell,-3.52197514982501,-3.10997252639706,-0.412002623427942
Hepatocyte 1,IgG+ plasmablast / plasma cell,-2.05028363446806,-1.60520166900993,-0.445081965458129
Hepatocyte 1,Macrophage 1,-0.479135350161998,-0.0207214075674308,-0.458413942594567
Hepatocyte 2,Macrophage 1,-0.665211071685141,-0.158260426179111,-0.50695064550603
CD8+ T cell 1,Hepatocyte 2,-0.824873658833966,-0.300741888759609,-0.524131770074357
CD8+ T cell 2,Ig+ hepatocyte,-0.294043438983658,0.243178232760756,-0.537221671744414
CD8+ T cell 1,Hepatocyte 1,-0.693469869860577,-0.154319949378552,-0.539149920482025
Hepatocyte 3,Macrophage 1,-0.92120745210851,-0.363936148897746,-0.557271303210763
CD8+ T cell 3,Hepatocyte 4,0.816675944176987,1.37925968502184,-0.562583740844857
Hepatocyte 3,Macrophage 2,-0.918994865336968,-0.344863338889302,-0.574131526447666
CD8+ T cell 1,Hepatocyte 3,-0.921369009469909,-0.34154967817471,-0.579819331295199
Sinusoidal endothelial cell,Stellate cell,-0.290490911077837,0.331788637191277,-0.622279548269114
Hepatocyte 3,Hepatocyte 4,0.151112121256822,0.795428796826391,-0.644316675569569
Hepatocyte 3,Vascular endothelial cell,-2.08679375036742,-1.42670660680371,-0.66008714356371
Hepatocyte 1,Hepatocyte 3,0.321995986692041,0.989659789027392,-0.667663802335351
Macrophage 1,Sinusoidal endothelial cell,-0.492109701053885,0.267694820375253,-0.759804521429138
CD8+ T cell 2,Sinusoidal endothelial cell,-0.658588127398,0.143038857013058,-0.801626984411057
Hepatocyte 2,IgG+ plasmablast / plasma cell,-2.89363027391488,-2.0752455876393,-0.818384686275582
Sinusoidal endothelial cell,Vascular endothelial cell,-2.31800530790336,-1.47918858049157,-0.838816727411792
Hepatocyte 1,Hepatocyte 4,0.505292710106378,1.37485954501394,-0.869566834907565
Cholangiocyte,Ig+ hepatocyte,-0.731591495209917,0.167674150497377,-0.899265645707294
Cholangiocyte,IgG+ plasmablast / plasma cell,-1.29646417514406,-0.381041513071485,-0.915422662072574
CD8+ T cell 3,Hepatocyte 1,-1.04833258625212,-0.0950742908276375,-0.953258295424482
CD8+ T cell 3,Sinusoidal endothelial cell,-1.07496944832685,-0.118584774044829,-0.956384674282021
Ig+ hepatocyte,Sinusoidal endothelial cell,-1.23724839351391,-0.268314661906202,-0.968933731607704
Hepatocyte 4,Vascular endothelial cell,-3.83038597138225,-2.85991403975978,-0.970471931622466
Sinusoidal endothelial cell,Sinusoidal endothelial cell,0.346772049145168,1.37995828761819,-1.03318623847302
Hepatocyte 1,Hepatocyte 1,0.545804984979649,1.58089943690716,-1.03509445192751
Cholangiocyte,Hepatocyte 3,-1.7263780956477,-0.680907636864955,-1.04547045878275
CD8+ T cell 1,Ig+ hepatocyte,-1.13256990235528,-0.0869958289816402,-1.04557407337364
Hepatocyte 1,Hepatocyte 2,0.441291411642169,1.50528537374547,-1.0639939621033
Hepatocyte 2,Hepatocyte 3,0.592359475753928,1.66412606582897,-1.07176659007504
CD8+ T cell 3,Hepatocyte 2,-1.25352222012068,-0.181196461533968,-1.07232575858671
CD8+ T cell 1,Sinusoidal endothelial cell,-0.771347631789631,0.305939419534384,-1.07728705132402
CD8+ T cell 2,Hepatocyte 3,-0.57823117513981,0.588122030103722,-1.16635320524353
Hepatocyte 2,Hepatocyte 2,0.600101773696503,1.79865596078144,-1.19855418708494
Hepatocyte 3,Hepatocyte 3,1.08975381281081,2.29184969275286,-1.20209587994205
IgG+ plasmablast / plasma cell,Sinusoidal endothelial cell,-2.7825625425578,-1.57422990396274,-1.20833263859506
CD8+ T cell 2,Hepatocyte 1,0.0469247163422235,1.28862288558525,-1.24169816924303
CD8+ T cell 2,Hepatocyte 2,-0.105560739912694,1.13942499044941,-1.2449857303621
Hepatocyte 2,Hepatocyte 4,0.0241989059278885,1.28998310482517,-1.26578419889728
CD8+ T cell 3,Hepatocyte 3,-1.50635023618843,-0.226826594906845,-1.27952364128158
CD4+ T cell,Hepatocyte 4,-3.48979070485741,-2.0896102110895,-1.40018049376792
Hepatocyte 3,Ig+ hepatocyte,-1.04858997312754,0.352252300116168,-1.40084227324371
Hepatocyte 1,Ig+ hepatocyte,-0.629364691055665,0.783910256394902,-1.41327494745057
CD8+ T cell 2,Hepatocyte 4,-0.275938896486779,1.14512999216354,-1.42106888865032
Hepatocyte 3,IgG+ plasmablast / plasma cell,-3.14910404554235,-1.6407040732681,-1.50839997227425
CD4+ T cell,Hepatocyte 1,-3.65432082642911,-2.01638137640741,-1.63793945002169
IgM+ B cell,Sinusoidal endothelial cell,-3.23801265877021,-1.536284129838,-1.70172852893221
Hepatocyte 3,IgM+ B cell,-3.4481687218157,-1.59014402147503,-1.85802470034067
CD4+ T cell,Hepatocyte 2,-4.23694455303976,-2.1344336819465,-2.10251087109325
Ig+ hepatocyte,Ig+ hepatocyte,0.485689965026635,2.68611881966193,-2.2004288546353
CD4+ T cell,Sinusoidal endothelial cell,-3.86787714703376,-1.26221216102039,-2.60566498601336
CD4+ T cell,Hepatocyte 3,-4.10697924618292,-1.28020363384255,-2.82677561234037
