unified_int,type_int,original,simulations,enrichm,p_higher_orig,p_lower_orig,p.adj_higher,p.adj_lower,PI_value,int_ranking,sample_id,condition,from_label,to_label
IgG+ plasmablast / plasma cell--IgG+ plasmablast / plasma cell,homo,2064,664.723,1.63314786388253,0,1,0,1,4.8994435916476,21,54023_b,AIH,IgG+ plasmablast / plasma cell,IgG+ plasmablast / plasma cell
CD4+ T cell--CD4+ T cell,homo,2272,829.606,1.45236148573096,0,1,0,1,4.35708445719287,22,54023_b,AIH,CD4+ T cell,CD4+ T cell
IgG+ B cell--IgG+ plasmablast / plasma cell,hetero,2212,827.261,1.41784608739393,0,1,0,1,4.25353826218178,23,54023_b,AIH,IgG+ B cell,IgG+ plasmablast / plasma cell
Hepatocyte 1--Hepatocyte 3,hetero,486,184.252,1.39443265420562,0,1,0,1,4.18329796261687,24,54023_b,AIH,Hepatocyte 1,Hepatocyte 3
Hepatocyte 1--Ig+ hepatocyte,hetero,194,75.914,1.34215599528827,0,1,0,1,4.02646798586482,25,54023_b,AIH,Hepatocyte 1,Ig+ hepatocyte
CD4+ T cell--IgM+ B cell,hetero,2068,867.026,1.25312348369515,0,1,0,1,3.75937045108546,26,54023_b,AIH,CD4+ T cell,IgM+ B cell
Hepatocyte 3--Hepatocyte 4,hetero,62,26.761,1.18229229134997,0,1,0,1,3.54687687404991,27,54023_b,AIH,Hepatocyte 3,Hepatocyte 4
Hepatocyte 2--Ig+ hepatocyte,hetero,70,30.291,1.18207125955118,0,1,0,1,3.54621377865354,28,54023_b,AIH,Hepatocyte 2,Ig+ hepatocyte
CD8+ T cell 2--Hepatocyte 3,hetero,166,77.232,1.09401734966907,0,1,0,1,3.28205204900722,29,54023_b,AIH,CD8+ T cell 2,Hepatocyte 3
Stellate cell--Stellate cell,homo,3750,1804.123,1.05517811816163,0,1,0,1,3.1655343544849,30,54023_b,AIH,Stellate cell,Stellate cell
Macrophage 1--Macrophage 1,homo,3568,1786.955,0.997209474761575,0,1,0,1,2.99162842428473,31,54023_b,AIH,Macrophage 1,Macrophage 1
Macrophage 2--Macrophage 2,homo,2942,1553.922,0.92044533043406,0,1,0,1,2.76133599130218,32,54023_b,AIH,Macrophage 2,Macrophage 2
Ig+ hepatocyte--IgG+ plasmablast / plasma cell,hetero,174,92.5,0.904316651944692,0,1,0,1,2.71294995583408,33,54023_b,AIH,Ig+ hepatocyte,IgG+ plasmablast / plasma cell
CD8+ T cell 2--Ig+ hepatocyte,hetero,55,31.777,0.772743013098527,0,1,0,1,2.31822903929558,34,54023_b,AIH,CD8+ T cell 2,Ig+ hepatocyte
CD8+ T cell 2--CD8+ T cell 3,hetero,117,69.239,0.748442649255404,0,1,0,1,2.24532794776621,35,54023_b,AIH,CD8+ T cell 2,CD8+ T cell 3
Hepatocyte 4--Ig+ hepatocyte,hetero,22,10.848,0.956990315430252,0.002,0.999,0.00645283018867925,1,2.03616798103994,36,54023_b,AIH,Hepatocyte 4,Ig+ hepatocyte
Sinusoidal endothelial cell--Stellate cell,hetero,1609,1015.982,0.662766543795953,0,1,0,1,1.98829963138786,37,54023_b,AIH,Sinusoidal endothelial cell,Stellate cell
IgM+ B cell--Vascular endothelial cell,hetero,436,305.241,0.512965833802211,0,1,0,1,1.53889750140663,38,54023_b,AIH,IgM+ B cell,Vascular endothelial cell
Macrophage 1--Sinusoidal endothelial cell,hetero,1435,1011.483,0.504158064394905,0,1,0,1,1.51247419318472,39,54023_b,AIH,Macrophage 1,Sinusoidal endothelial cell
CD8+ T cell 1--CD8+ T cell 1,homo,7535,5327.858,0.49997257535534,0,1,0,1,1.49991772606602,40,54023_b,AIH,CD8+ T cell 1,CD8+ T cell 1
CD4+ T cell--Vascular endothelial cell,hetero,822,585.383,0.489049152160185,0,1,0,1,1.46714745648056,41,54023_b,AIH,CD4+ T cell,Vascular endothelial cell
CD8+ T cell 1--Sinusoidal endothelial cell,hetero,2405,1746.105,0.461670326516225,0,1,0,1,1.38501097954867,42,54023_b,AIH,CD8+ T cell 1,Sinusoidal endothelial cell
CD8+ T cell 1--Macrophage 1,hetero,7985,6170.496,0.371852824059419,0,1,0,1,1.11555847217826,43,54023_b,AIH,CD8+ T cell 1,Macrophage 1
Stellate cell--Vascular endothelial cell,hetero,1086,863.036,0.331188611822775,0,1,0,1,0.993565835468325,44,54023_b,AIH,Stellate cell,Vascular endothelial cell
IgG+ B cell--Macrophage 2,hetero,1536,1264.596,0.280300219831387,0,1,0,1,0.840900659494162,45,54023_b,AIH,IgG+ B cell,Macrophage 2
CD4+ T cell--Macrophage 2,hetero,2737,2268.498,0.270749229697558,0,1,0,1,0.812247689092673,46,54023_b,AIH,CD4+ T cell,Macrophage 2
CD8+ T cell 3--Macrophage 1,hetero,399,333.284,0.25892569581664,0,1,0,1,0.776777087449919,47,54023_b,AIH,CD8+ T cell 3,Macrophage 1
Cholangiocyte--Macrophage 2,hetero,2633,2203.415,0.256859496421521,0,1,0,1,0.770578489264562,48,54023_b,AIH,Cholangiocyte,Macrophage 2
CD8+ T cell 1--CD8+ T cell 2,hetero,1526,1288.112,0.244322449463021,0,1,0,1,0.732967348389064,49,54023_b,AIH,CD8+ T cell 1,CD8+ T cell 2
Ig+ hepatocyte--IgG+ B cell,hetero,77,57.413,0.417184642739797,0.00800000000000001,0.994,0.0244285714285715,1,0.665275187445111,50,54023_b,AIH,Ig+ hepatocyte,IgG+ B cell
IgM+ B cell--Macrophage 2,hetero,1378,1184.878,0.217666859993557,0,1,0,1,0.653000579980671,51,54023_b,AIH,IgM+ B cell,Macrophage 2
CD8+ T cell 1--CD8+ T cell 3,hetero,660,574.234,0.200501320952749,0,1,0,1,0.601503962858248,52,54023_b,AIH,CD8+ T cell 1,CD8+ T cell 3
CD8+ T cell 2--Macrophage 1,hetero,827,743.863,0.152655667513488,0.002,0.998,0.00645283018867925,1,0.32480222349533,53,54023_b,AIH,CD8+ T cell 2,Macrophage 1
Macrophage 2--Stellate cell,hetero,3590,3347.644,0.100808644152449,0,1,0,1,0.302425932457346,54,54023_b,AIH,Macrophage 2,Stellate cell
Hepatocyte 1--Sinusoidal endothelial cell,hetero,562,505.125,0.153641184403772,0.00800000000000001,0.992,0.0244285714285715,1,0.245008222455735,55,54023_b,AIH,Hepatocyte 1,Sinusoidal endothelial cell
Hepatocyte 3--Ig+ hepatocyte,hetero,21,15.604,0.405972686695777,0.123,0.915,0.362637931034483,1,0.178356314104989,56,54023_b,AIH,Hepatocyte 3,Ig+ hepatocyte
IgM+ B cell--Stellate cell,hetero,1366,1278.661,0.0952515720892788,0.00600000000000001,0.995,0.019,1,0.161829563845535,57,54023_b,AIH,IgM+ B cell,Stellate cell
Macrophage 2--Vascular endothelial cell,hetero,836,799.877,0.0636469345935399,0.088,0.917,0.264,1,0.0367086321380983,58,54023_b,AIH,Macrophage 2,Vascular endothelial cell
Hepatocyte 3--Sinusoidal endothelial cell,hetero,112,104.266,0.102283238956435,0.24,0.796,0.684,1,0.0168061005388355,59,54023_b,AIH,Hepatocyte 3,Sinusoidal endothelial cell
CD4+ T cell--Stellate cell,hetero,2491,2446.171,0.026189152791575,0.161,0.842,0.466627118644068,1,0.00864504748559318,60,54023_b,AIH,CD4+ T cell,Stellate cell
IgG+ B cell--Vascular endothelial cell,hetero,337,325.795,0.0486373362502636,0.272,0.747,0.750193548387097,1,0.00604309908196019,61,54023_b,AIH,IgG+ B cell,Vascular endothelial cell
Hepatocyte 1--Macrophage 1,hetero,1809,1785.942,0.0184968887098979,0.262,0.746,0.734459016393443,1,0.0024682530078392,62,54023_b,AIH,Hepatocyte 1,Macrophage 1
CD8+ T cell 3--Hepatocyte 1,hetero,167,166.272,0.00626526307245292,0.487,0.543,1,0.875971698113207,0.000357210353293766,63,54023_b,AIH,CD8+ T cell 3,Hepatocyte 1
Hepatocyte 2--Sinusoidal endothelial cell,hetero,207,202.478,0.0317107093375506,0.366,0.653,0.97790625,1,0.000293606243993902,64,54023_b,AIH,Hepatocyte 2,Sinusoidal endothelial cell
CD8+ T cell 1--Ig+ hepatocyte,hetero,267,261.538,0.0297067457372843,0.363,0.658,0.97790625,1,0.000275051748113295,65,54023_b,AIH,CD8+ T cell 1,Ig+ hepatocyte
CD8+ T cell 2--Sinusoidal endothelial cell,hetero,214,210.789,0.0217089999347476,0.423,0.609,1,0.973261682242991,0.000245840919881298,66,54023_b,AIH,CD8+ T cell 2,Sinusoidal endothelial cell
IgG+ B cell--IgM+ B cell,hetero,484,484.291,-0.000865357443253293,0.499,0.515,1,0.838714285714286,-6.56533350787276e-05,67,54023_b,AIH,IgG+ B cell,IgM+ B cell
CD4+ T cell--IgG+ B cell,hetero,920,923.664,-0.00572806488495024,0.568,0.451,1,0.741548076923077,-0.000740498007108618,68,54023_b,AIH,CD4+ T cell,IgG+ B cell
IgG+ plasmablast / plasma cell--Macrophage 2,hetero,1990,2029.157,-0.0280980799298717,0.843,0.16,1,0.276363636363636,-0.0156492390342197,69,54023_b,AIH,IgG+ plasmablast / plasma cell,Macrophage 2
Ig+ hepatocyte--Sinusoidal endothelial cell,hetero,40,42.745,-0.0934942183586008,0.689,0.386,1,0.640834951456311,-0.0180048021377774,70,54023_b,AIH,Ig+ hepatocyte,Sinusoidal endothelial cell
CD8+ T cell 1--Stellate cell,hetero,6074,6198.823,-0.0293426195766876,0.96,0.042,1,0.076404255319149,-0.0326065506542581,71,54023_b,AIH,CD8+ T cell 1,Stellate cell
CD4+ T cell--IgG+ plasmablast / plasma cell,hetero,1437,1483.728,-0.0461349798322138,0.91,0.096,1,0.171,-0.0352688796842214,72,54023_b,AIH,CD4+ T cell,IgG+ plasmablast / plasma cell
CD8+ T cell 3--Hepatocyte 2,hetero,60,66.159,-0.138771505976701,0.8,0.243,1,0.407382352941177,-0.0539728227073872,73,54023_b,AIH,CD8+ T cell 3,Hepatocyte 2
Hepatocyte 4--Sinusoidal endothelial cell,hetero,67,73.684,-0.135264452567263,0.798,0.226,1,0.382633663366337,-0.0562812785849792,74,54023_b,AIH,Hepatocyte 4,Sinusoidal endothelial cell
CD8+ T cell 3--Sinusoidal endothelial cell,hetero,84,94.608,-0.169668499523086,0.879,0.145,1,0.255618556701031,-0.100225208841671,75,54023_b,AIH,CD8+ T cell 3,Sinusoidal endothelial cell
CD8+ T cell 3--Hepatocyte 3,hetero,28,34.087,-0.274883699818285,0.876,0.168,1,0.28728,-0.148488185148211,76,54023_b,AIH,CD8+ T cell 3,Hepatocyte 3
Hepatocyte 4--Macrophage 1,hetero,231,257.703,-0.157171978704703,0.955,0.0520000000000001,1,0.0936000000000001,-0.160961216500755,77,54023_b,AIH,Hepatocyte 4,Macrophage 1
CD8+ T cell 3--Ig+ hepatocyte,hetero,10,13.972,-0.444763429600578,0.901,0.16,1,0.276363636363636,-0.247711204497615,78,54023_b,AIH,CD8+ T cell 3,Ig+ hepatocyte
Hepatocyte 2--Macrophage 1,hetero,636,716.669,-0.172025231783771,0.998,0.002,1,0.00371739130434783,-0.400181969477876,79,54023_b,AIH,Hepatocyte 2,Macrophage 1
IgG+ plasmablast / plasma cell--IgM+ B cell,hetero,688,774.373,-0.170386515579308,0.999,0.001,1,0.00187912087912088,-0.432907852802239,80,54023_b,AIH,IgG+ plasmablast / plasma cell,IgM+ B cell
Macrophage 1--Stellate cell,hetero,3249,3591.321,-0.144476552989361,1,0,1,0,-0.433429658968083,81,54023_b,AIH,Macrophage 1,Stellate cell
IgG+ B cell--Stellate cell,hetero,1235,1366.07,-0.145408373927937,1,0,1,0,-0.436225121783812,82,54023_b,AIH,IgG+ B cell,Stellate cell
CD8+ T cell 3--IgG+ B cell,hetero,103,126.232,-0.290878038759107,0.992,0.013,1,0.0239032258064516,-0.466494023851768,83,54023_b,AIH,CD8+ T cell 3,IgG+ B cell
CD8+ T cell 1--Hepatocyte 1,hetero,2749,3085.173,-0.166387317946166,1,0,1,0,-0.499161953838497,84,54023_b,AIH,CD8+ T cell 1,Hepatocyte 1
CD8+ T cell 1--IgG+ plasmablast / plasma cell,hetero,3294,3760.286,-0.190947544706255,1,0,1,0,-0.572842634118764,85,54023_b,AIH,CD8+ T cell 1,IgG+ plasmablast / plasma cell
CD8+ T cell 1--Hepatocyte 2,hetero,1074,1233.711,-0.199836740166906,1,0,1,0,-0.599510220500719,86,54023_b,AIH,CD8+ T cell 1,Hepatocyte 2
CD4+ T cell--CD8+ T cell 1,hetero,3624,4205.261,-0.214557377463067,1,0,1,0,-0.643672132389202,87,54023_b,AIH,CD4+ T cell,CD8+ T cell 1
IgG+ plasmablast / plasma cell--Vascular endothelial cell,hetero,450,523.485,-0.217774079579155,1,0,1,0,-0.653322238737464,88,54023_b,AIH,IgG+ plasmablast / plasma cell,Vascular endothelial cell
CD8+ T cell 1--Hepatocyte 3,hetero,546,637.36,-0.222829421284282,1,0,1,0,-0.668488263852846,89,54023_b,AIH,CD8+ T cell 1,Hepatocyte 3
Macrophage 1--Macrophage 2,hetero,2822,3329.172,-0.238367564166211,1,0,1,0,-0.715102692498634,90,54023_b,AIH,Macrophage 1,Macrophage 2
CD8+ T cell 1--Macrophage 2,hetero,4853,5752.495,-0.245264488853602,1,0,1,0,-0.735793466560805,91,54023_b,AIH,CD8+ T cell 1,Macrophage 2
Hepatocyte 3--Macrophage 2,hetero,287,343.866,-0.259967090255891,1,0,1,0,-0.779901270767672,92,54023_b,AIH,Hepatocyte 3,Macrophage 2
Hepatocyte 3--Macrophage 1,hetero,299,369.339,-0.303883985444833,1,0,1,0,-0.911651956334497,93,54023_b,AIH,Hepatocyte 3,Macrophage 1
CD8+ T cell 3--Stellate cell,hetero,270,334.213,-0.306785248149808,1,0,1,0,-0.920355744449423,94,54023_b,AIH,CD8+ T cell 3,Stellate cell
IgG+ plasmablast / plasma cell--Macrophage 1,hetero,1755,2176.629,-0.310465339919996,1,0,1,0,-0.931396019759987,95,54023_b,AIH,IgG+ plasmablast / plasma cell,Macrophage 1
CD4+ T cell--CD8+ T cell 3,hetero,178,227.157,-0.350067329762651,1,0,1,0,-1.05020198928795,96,54023_b,AIH,CD4+ T cell,CD8+ T cell 3
Cholangiocyte--Ig+ hepatocyte,hetero,75,100.308,-0.414676780426886,0.999,0.001,1,0.00187912087912088,-1.05358592498472,97,54023_b,AIH,Cholangiocyte,Ig+ hepatocyte
CD8+ T cell 3--IgG+ plasmablast / plasma cell,hetero,158,202.873,-0.358643958617059,1,0,1,0,-1.07593187585118,98,54023_b,AIH,CD8+ T cell 3,IgG+ plasmablast / plasma cell
IgG+ plasmablast / plasma cell--Stellate cell,hetero,1655,2189.964,-0.403863106585301,1,0,1,0,-1.2115893197559,99,54023_b,AIH,IgG+ plasmablast / plasma cell,Stellate cell
CD8+ T cell 1--IgM+ B cell,hetero,1641,2193.583,-0.41849270741266,1,0,1,0,-1.25547812223798,100,54023_b,AIH,CD8+ T cell 1,IgM+ B cell
CD8+ T cell 3--Macrophage 2,hetero,223,310.432,-0.475418458342837,1,0,1,0,-1.42625537502851,101,54023_b,AIH,CD8+ T cell 3,Macrophage 2
Cholangiocyte--IgG+ B cell,hetero,645,897.624,-0.476183428233724,1,0,1,0,-1.42855028470117,102,54023_b,AIH,Cholangiocyte,IgG+ B cell
CD8+ T cell 3--IgM+ B cell,hetero,85,118.815,-0.4783999698349,1,0,1,0,-1.4351999095047,103,54023_b,AIH,CD8+ T cell 3,IgM+ B cell
Ig+ hepatocyte--Macrophage 1,hetero,105,151.878,-0.52831654495458,1,0,1,0,-1.58494963486374,104,54023_b,AIH,Ig+ hepatocyte,Macrophage 1
CD8+ T cell 1--IgG+ B cell,hetero,1622,2343.987,-0.530916924949643,1,0,1,0,-1.59275077484893,105,54023_b,AIH,CD8+ T cell 1,IgG+ B cell
CD8+ T cell 1--Hepatocyte 4,hetero,308,446.247,-0.533464967010276,1,0,1,0,-1.60039490103083,106,54023_b,AIH,CD8+ T cell 1,Hepatocyte 4
Macrophage 2--Sinusoidal endothelial cell,hetero,631,942.783,-0.578530626595814,1,0,1,0,-1.73559187978744,107,54023_b,AIH,Macrophage 2,Sinusoidal endothelial cell
CD4+ T cell--Macrophage 1,hetero,1623,2436.086,-0.585605529323706,1,0,1,0,-1.75681658797112,108,54023_b,AIH,CD4+ T cell,Macrophage 1
Cholangiocyte--Vascular endothelial cell,hetero,353,566.548,-0.680993052242453,1,0,1,0,-2.04297915672736,109,54023_b,AIH,Cholangiocyte,Vascular endothelial cell
CD8+ T cell 1--Vascular endothelial cell,hetero,911,1482.466,-0.701866132136219,1,0,1,0,-2.10559839640866,110,54023_b,AIH,CD8+ T cell 1,Vascular endothelial cell
Hepatocyte 3--IgG+ B cell,hetero,81,140.628,-0.788410701056152,1,0,1,0,-2.36523210316845,111,54023_b,AIH,Hepatocyte 3,IgG+ B cell
Cholangiocyte--Hepatocyte 3,hetero,136,244.124,-0.83933585167126,1,0,1,0,-2.51800755501378,112,54023_b,AIH,Cholangiocyte,Hepatocyte 3
CD8+ T cell 3--Vascular endothelial cell,hetero,43,79.884,-0.878350821629821,1,0,1,0,-2.63505246488946,113,54023_b,AIH,CD8+ T cell 3,Vascular endothelial cell
IgM+ B cell--Macrophage 1,hetero,690,1270.781,-0.880092644978156,1,0,1,0,-2.64027793493447,114,54023_b,AIH,IgM+ B cell,Macrophage 1
Cholangiocyte--Stellate cell,hetero,1250,2376.591,-0.926418770398628,1,0,1,0,-2.77925631119588,115,54023_b,AIH,Cholangiocyte,Stellate cell
IgG+ B cell--Macrophage 1,hetero,699,1358.205,-0.957336237602505,1,0,1,0,-2.87200871280752,116,54023_b,AIH,IgG+ B cell,Macrophage 1
Hepatocyte 3--Stellate cell,hetero,181,371.07,-1.03163562024383,1,0,1,0,-3.0949068607315,117,54023_b,AIH,Hepatocyte 3,Stellate cell
CD4+ T cell--Hepatocyte 3,hetero,122,251.59,-1.03813920861247,1,0,1,0,-3.11441762583742,118,54023_b,AIH,CD4+ T cell,Hepatocyte 3
Ig+ hepatocyte--Vascular endothelial cell,hetero,17,36.242,-1.04893364519792,1,0,1,0,-3.14680093559377,119,54023_b,AIH,Ig+ hepatocyte,Vascular endothelial cell
Cholangiocyte--IgG+ plasmablast / plasma cell,hetero,692,1441.782,-1.05792607196016,1,0,1,0,-3.17377821588049,120,54023_b,AIH,Cholangiocyte,IgG+ plasmablast / plasma cell
Ig+ hepatocyte--Macrophage 2,hetero,66,140.841,-1.08204161191517,1,0,1,0,-3.24612483574551,121,54023_b,AIH,Ig+ hepatocyte,Macrophage 2
CD4+ T cell--Cholangiocyte,hetero,751,1610.833,-1.09989770876557,1,0,1,0,-3.29969312629672,122,54023_b,AIH,CD4+ T cell,Cholangiocyte
CD4+ T cell--Ig+ hepatocyte,hetero,47,102.937,-1.11460301234477,1,0,1,0,-3.34380903703432,123,54023_b,AIH,CD4+ T cell,Ig+ hepatocyte
CD8+ T cell 3--Cholangiocyte,hetero,98,219.38,-1.15449287159848,1,0,1,0,-3.46347861479544,124,54023_b,AIH,CD8+ T cell 3,Cholangiocyte
Hepatocyte 3--IgG+ plasmablast / plasma cell,hetero,100,225.291,-1.16382391419261,1,0,1,0,-3.49147174257784,125,54023_b,AIH,Hepatocyte 3,IgG+ plasmablast / plasma cell
Hepatocyte 4--IgG+ plasmablast / plasma cell,hetero,69,157.21,-1.17641396413513,1,0,1,0,-3.52924189240539,126,54023_b,AIH,Hepatocyte 4,IgG+ plasmablast / plasma cell
Ig+ hepatocyte--Stellate cell,hetero,66,152.792,-1.19874745801001,1,0,1,0,-3.59624237403002,127,54023_b,AIH,Ig+ hepatocyte,Stellate cell
Cholangiocyte--IgM+ B cell,hetero,366,842.31,-1.20028299900151,1,0,1,0,-3.60084899700452,128,54023_b,AIH,Cholangiocyte,IgM+ B cell
Hepatocyte 1--IgG+ plasmablast / plasma cell,hetero,456,1088.16,-1.25294983430246,1,0,1,0,-3.75884950290738,129,54023_b,AIH,Hepatocyte 1,IgG+ plasmablast / plasma cell
Macrophage 1--Vascular endothelial cell,hetero,345,857.802,-1.3115535131236,1,0,1,0,-3.93466053937081,130,54023_b,AIH,Macrophage 1,Vascular endothelial cell
IgG+ plasmablast / plasma cell--Sinusoidal endothelial cell,hetero,243,615.409,-1.33700677856904,1,0,1,0,-4.01102033570713,131,54023_b,AIH,IgG+ plasmablast / plasma cell,Sinusoidal endothelial cell
Hepatocyte 3--Vascular endothelial cell,hetero,34,88.67,-1.35727047567956,1,0,1,0,-4.07181142703868,132,54023_b,AIH,Hepatocyte 3,Vascular endothelial cell
CD8+ T cell 1--Cholangiocyte,hetero,1509,4082.407,-1.43522482100517,1,0,1,0,-4.30567446301551,133,54023_b,AIH,CD8+ T cell 1,Cholangiocyte
Hepatocyte 2--Stellate cell,hetero,265,718.65,-1.43586918022659,1,0,1,0,-4.30760754067977,134,54023_b,AIH,Hepatocyte 2,Stellate cell
CD4+ T cell--Sinusoidal endothelial cell,hetero,252,688.706,-1.44684413243414,1,0,1,0,-4.34053239730241,135,54023_b,AIH,CD4+ T cell,Sinusoidal endothelial cell
Hepatocyte 2--IgG+ plasmablast / plasma cell,hetero,154,435.703,-1.49438422647338,1,0,1,0,-4.48315267942013,136,54023_b,AIH,Hepatocyte 2,IgG+ plasmablast / plasma cell
Hepatocyte 3--IgM+ B cell,hetero,44,130.838,-1.55076935536911,1,0,1,0,-4.65230806610734,137,54023_b,AIH,Hepatocyte 3,IgM+ B cell
CD8+ T cell 2--IgG+ plasmablast / plasma cell,hetero,153,454.743,-1.5652901463912,1,0,1,0,-4.69587043917361,138,54023_b,AIH,CD8+ T cell 2,IgG+ plasmablast / plasma cell
IgG+ B cell--Sinusoidal endothelial cell,hetero,125,383.028,-1.60778776989953,1,0,1,0,-4.82336330969861,139,54023_b,AIH,IgG+ B cell,Sinusoidal endothelial cell
IgM+ B cell--Sinusoidal endothelial cell,hetero,113,359.773,-1.66205754795143,1,0,1,0,-4.98617264385429,140,54023_b,AIH,IgM+ B cell,Sinusoidal endothelial cell
Hepatocyte 2--Macrophage 2,hetero,198,668.704,-1.75075515421847,1,0,1,0,-5.25226546265542,141,54023_b,AIH,Hepatocyte 2,Macrophage 2
CD8+ T cell 2--Macrophage 2,hetero,202,695.106,-1.7778272827301,1,0,1,0,-5.33348184819029,142,54023_b,AIH,CD8+ T cell 2,Macrophage 2
Hepatocyte 1--Stellate cell,hetero,518,1795.25,-1.79118171298682,1,0,1,0,-5.37354513896045,143,54023_b,AIH,Hepatocyte 1,Stellate cell
Sinusoidal endothelial cell--Vascular endothelial cell,hetero,69,241.684,-1.79365216849818,1,0,1,0,-5.38095650549455,144,54023_b,AIH,Sinusoidal endothelial cell,Vascular endothelial cell
CD4+ T cell--CD8+ T cell 2,hetero,135,506.922,-1.90100031234623,1,0,1,0,-5.70300093703868,145,54023_b,AIH,CD4+ T cell,CD8+ T cell 2
Hepatocyte 4--Stellate cell,hetero,67,259.775,-1.93919891631108,1,0,1,0,-5.81759674893325,146,54023_b,AIH,Hepatocyte 4,Stellate cell
CD8+ T cell 2--Stellate cell,hetero,192,749.741,-1.95971442713996,1,0,1,0,-5.87914328141987,147,54023_b,AIH,CD8+ T cell 2,Stellate cell
Cholangiocyte--Hepatocyte 2,hetero,118,473.312,-1.99487479524578,1,0,1,0,-5.98462438573735,148,54023_b,AIH,Cholangiocyte,Hepatocyte 2
CD8+ T cell 2--Cholangiocyte,hetero,121,492.18,-2.01523314731782,1,0,1,0,-6.04569944195346,149,54023_b,AIH,CD8+ T cell 2,Cholangiocyte
Hepatocyte 4--Macrophage 2,hetero,54,241.017,-2.13760486653626,1,0,1,0,-6.41281459960879,150,54023_b,AIH,Hepatocyte 4,Macrophage 2
Hepatocyte 1--Macrophage 2,hetero,374,1663.675,-2.15027804194751,1,0,1,0,-6.45083412584253,151,54023_b,AIH,Hepatocyte 1,Macrophage 2
CD4+ T cell--Hepatocyte 2,hetero,109,487.389,-2.15052718307791,1,0,1,0,-6.45158154923373,152,54023_b,AIH,CD4+ T cell,Hepatocyte 2
Cholangiocyte--Hepatocyte 1,hetero,262,1180.913,-2.16798913876343,1,0,1,0,-6.50396741629028,153,54023_b,AIH,Cholangiocyte,Hepatocyte 1
CD4+ T cell--Hepatocyte 4,hetero,36,176.241,-2.26011519584176,1,0,1,0,-6.78034558752527,154,54023_b,AIH,CD4+ T cell,Hepatocyte 4
CD4+ T cell--Hepatocyte 1,hetero,248,1217.196,-2.29052862498356,1,0,1,0,-6.87158587495069,155,54023_b,AIH,CD4+ T cell,Hepatocyte 1
Ig+ hepatocyte--IgM+ B cell,hetero,10,53.962,-2.3209309792704,1,0,1,0,-6.96279293781121,156,54023_b,AIH,Ig+ hepatocyte,IgM+ B cell
Cholangiocyte--Macrophage 1,hetero,457,2367.437,-2.37051579356514,1,0,1,0,-7.11154738069541,157,54023_b,AIH,Cholangiocyte,Macrophage 1
Hepatocyte 2--IgG+ B cell,hetero,49,272.656,-2.45236348846702,1,0,1,0,-7.35709046540105,158,54023_b,AIH,Hepatocyte 2,IgG+ B cell
Hepatocyte 4--IgG+ B cell,hetero,17,98.104,-2.46094638157026,1,0,1,0,-7.38283914471079,159,54023_b,AIH,Hepatocyte 4,IgG+ B cell
Hepatocyte 1--IgG+ B cell,hetero,114,676.83,-2.55928962913917,1,0,1,0,-7.67786888741752,160,54023_b,AIH,Hepatocyte 1,IgG+ B cell
Hepatocyte 4--Vascular endothelial cell,hetero,9,61.545,-2.64489455643701,1,0,1,0,-7.93468366931102,161,54023_b,AIH,Hepatocyte 4,Vascular endothelial cell
CD8+ T cell 2--IgM+ B cell,hetero,39,264.348,-2.72981376969321,1,0,1,0,-8.18944130907963,162,54023_b,AIH,CD8+ T cell 2,IgM+ B cell
Cholangiocyte--Hepatocyte 4,hetero,22,170.136,-2.89543750937425,1,0,1,0,-8.68631252812276,163,54023_b,AIH,Cholangiocyte,Hepatocyte 4
CD8+ T cell 2--IgG+ B cell,hetero,37,282.712,-2.90035584905959,1,0,1,0,-8.70106754717878,164,54023_b,AIH,CD8+ T cell 2,IgG+ B cell
Hepatocyte 2--Vascular endothelial cell,hetero,20,171.284,-3.03632749181776,1,0,1,0,-9.10898247545329,165,54023_b,AIH,Hepatocyte 2,Vascular endothelial cell
Hepatocyte 4--IgM+ B cell,hetero,10,91.939,-3.07878059815054,1,0,1,0,-9.23634179445162,166,54023_b,AIH,Hepatocyte 4,IgM+ B cell
Hepatocyte 2--IgM+ B cell,hetero,29,254.637,-3.09106225616837,1,0,1,0,-9.27318676850511,167,54023_b,AIH,Hepatocyte 2,IgM+ B cell
Cholangiocyte--Sinusoidal endothelial cell,hetero,71,667.926,-3.21577780975529,1,0,1,0,-9.64733342926586,168,54023_b,AIH,Cholangiocyte,Sinusoidal endothelial cell
CD8+ T cell 2--Vascular endothelial cell,hetero,18,178.858,-3.24278700763452,1,0,1,0,-9.72836102290357,169,54023_b,AIH,CD8+ T cell 2,Vascular endothelial cell
Hepatocyte 1--IgM+ B cell,hetero,50,634.63,-3.63961806536229,1,0,1,0,-10.9188541960869,170,54023_b,AIH,Hepatocyte 1,IgM+ B cell
Hepatocyte 1--Vascular endothelial cell,hetero,27,429.04,-3.94097212548004,1,0,1,0,-11.8229163764401,171,54023_b,AIH,Hepatocyte 1,Vascular endothelial cell
Vascular endothelial cell--Vascular endothelial cell,homo,672,62.413,3.40775596893304,0,1,0,1,10.2232679067991,1,56784_c,AIH,Vascular endothelial cell,Vascular endothelial cell
Cholangiocyte--Cholangiocyte,homo,2106,220.021,3.25293495726968,0,1,0,1,9.75880487180904,2,56784_c,AIH,Cholangiocyte,Cholangiocyte
IgM+ B cell--IgM+ B cell,homo,705,78.697,3.14707085989683,0,1,0,1,9.44121257969048,3,56784_c,AIH,IgM+ B cell,IgM+ B cell
