condition,from_label,to_label,mean_enrichm,mean_original,mean_p_higher_orig,mean_p_lower_orig,mean_PI_value,n_samples
AIH,CD8+ T cell 3,IgG+ plasmablast / plasma cell,-0.291862789229376,161.5,0.9895,0.0125,-0.68369642421083,2
AIH,CD8+ T cell 3,IgM+ B cell,-0.438307806373581,74.5,0.9965,0.005,-1.0492135939106,2
AIH,CD8+ T cell 3,Macrophage 1,0.232127431650693,445.5,0,1,0.696382294952078,2
AIH,CD8+ T cell 3,Macrophage 2,-0.373335656733676,235.5,1,0,-1.12000697020103,2
AIH,CD8+ T cell 3,Sinusoidal endothelial cell,-0.118584774044829,96.5,0.788,0.244,-0.056687777583333,2
AIH,CD8+ T cell 3,Stellate cell,-0.265670888722066,256.5,0.998,0.0025,-0.676569550260498,2
AIH,CD8+ T cell 3,Vascular endothelial cell,-0.634433356230817,50,0.993,0.00950000000000001,-1.5921474200273,2
AIH,Cholangiocyte,Cholangiocyte,3.0921365650849,4038.5,0,1,9.27640969525471,2
AIH,Cholangiocyte,Hepatocyte 1,-1.84420543636305,497,1,0,-5.53261630908916,2
AIH,Cholangiocyte,Hepatocyte 2,-1.8636299196163,185,1,0,-5.59088975884889,2
AIH,Cholangiocyte,Hepatocyte 3,-0.680907636864955,141,1,0,-2.04272291059486,2
AIH,Cholangiocyte,Hepatocyte 4,-2.43189359238753,55,1,0,-7.29568077716258,2
AIH,Cholangiocyte,Ig+ hepatocyte,0.167674150497377,125.5,0.4995,0.5005,0.598244659640101,2
AIH,Cholangiocyte,IgG+ B cell,-0.201545920922311,562.5,0.5675,0.437,-0.696944284406607,2
AIH,Cholangiocyte,IgG+ plasmablast / plasma cell,-0.381041513071485,712,0.5,0.5,-1.14312453921446,2
AIH,Cholangiocyte,IgM+ B cell,-0.677737378543015,301,0.9835,0.02,-1.88645655847246,2
AIH,Cholangiocyte,Macrophage 1,-1.84427139892336,493,1,0,-5.53281419677008,2
AIH,Cholangiocyte,Macrophage 2,0.25406768693626,1868,0,1,0.762203060808781,2
AIH,Cholangiocyte,Sinusoidal endothelial cell,-2.33167239992508,100,1,0,-6.99501719977523,2
AIH,Cholangiocyte,Stellate cell,-0.469298207495507,1063,0.805,0.201,-1.39045204770682,2
AIH,Cholangiocyte,Vascular endothelial cell,-0.13514551694713,331.5,0.5,0.5,-0.40543655084139,2
AIH,Hepatocyte 1,Hepatocyte 1,1.58089943690716,5538,0,1,4.74269831072147,2
AIH,Hepatocyte 1,Hepatocyte 2,1.50528537374547,4343.5,0,1,4.51585612123641,2
AIH,Hepatocyte 1,Hepatocyte 3,0.989659789027392,996.5,0,1,2.96897936708218,2
AIH,Hepatocyte 1,Hepatocyte 4,1.37485954501394,1555,0,1,4.12457863504183,2
AIH,Hepatocyte 1,Ig+ hepatocyte,0.783910256394902,390,0,1,2.35173076918471,2
AIH,Hepatocyte 1,IgG+ B cell,-2.7029488979793,208,1,0,-8.10884669393791,2
AIH,Hepatocyte 1,IgG+ plasmablast / plasma cell,-1.60520166900993,594,1,0,-4.8156050070298,2
AIH,Hepatocyte 1,IgM+ B cell,-3.10997252639706,129.5,1,0,-9.32991757919119,2
AIH,Hepatocyte 1,Macrophage 1,-0.0207214075674308,3927.5,0.631,0.373,-0.0886754292632196,2
AIH,Hepatocyte 1,Macrophage 2,-1.47015079875477,1467,1,0,-4.41045239626431,2
AIH,Hepatocyte 1,Sinusoidal endothelial cell,0.332805280287214,1486.5,0.004,0.996,0.89045817548385,2
AIH,Hepatocyte 1,Stellate cell,-1.16248070463837,1713,1,0,-3.48744211391512,2
AIH,Hepatocyte 1,Vascular endothelial cell,-3.57096077104258,73.5,1,0,-10.7128823131277,2
AIH,Hepatocyte 2,Hepatocyte 2,1.79865596078144,1086.5,0,1,5.39596788234433,2
AIH,Hepatocyte 2,Hepatocyte 3,1.66412606582897,605,0,1,4.99237819748691,2
AIH,Hepatocyte 2,Hepatocyte 4,1.28998310482517,626,0,1,3.86994931447552,2
AIH,Hepatocyte 2,Ig+ hepatocyte,0.587000179071029,134.5,0.27,0.742,1.7728672484544,2
AIH,Hepatocyte 2,IgG+ B cell,-2.78885520760288,74,1,0,-8.36656562280864,2
AIH,Hepatocyte 2,IgG+ plasmablast / plasma cell,-2.0752455876393,167,1,0,-6.22573676291789,2
AIH,Hepatocyte 2,IgM+ B cell,-2.95842107585201,49.5,1,0,-8.87526322755602,2
AIH,Hepatocyte 2,Macrophage 1,-0.158260426179111,1458,0.999,0.001,-0.416834415600614,2
AIH,Hepatocyte 2,Macrophage 2,-1.24212039932745,630.5,1,0,-3.72636119798234,2
AIH,Hepatocyte 2,Sinusoidal endothelial cell,0.17717718381134,526.5,0.183,0.8265,0.484112290549691,2
AIH,Hepatocyte 2,Stellate cell,-0.981023843972697,716.5,1,0,-2.94307153191809,2
AIH,Hepatocyte 2,Vascular endothelial cell,-3.31437206127665,28,1,0,-9.94311618382996,2
AIH,Hepatocyte 3,Hepatocyte 3,2.29184969275286,157.5,0,1,6.87554907825859,2
AIH,Hepatocyte 3,Hepatocyte 4,0.795428796826391,142,0,1,2.38628639047917,2
AIH,Hepatocyte 3,Ig+ hepatocyte,0.352252300116168,41.5,0.0885,0.936,0.217180455582029,2
AIH,Hepatocyte 3,IgG+ B cell,-0.874297168274332,96.5,1,0,-2.62289150482299,2
AIH,Hepatocyte 3,IgG+ plasmablast / plasma cell,-1.6407040732681,82.5,1,0,-4.92211221980429,2
AIH,Hepatocyte 3,IgM+ B cell,-1.59014402147503,42,1,0,-4.7704320644251,2
AIH,Hepatocyte 3,Macrophage 1,-0.363936148897746,385,1,0,-1.09180844669324,2
AIH,Hepatocyte 3,Macrophage 2,-0.344863338889302,308,1,0,-1.03459001666791,2
AIH,Hepatocyte 3,Sinusoidal endothelial cell,0.157788529085536,154.5,0.129,0.8905,0.148704415895119,2
AIH,Hepatocyte 3,Stellate cell,-0.670841572140411,261,1,0,-2.01252471642123,2
AIH,Hepatocyte 3,Vascular endothelial cell,-1.42670660680371,36.5,1,0,-4.28011982041114,2
AIH,Hepatocyte 4,Hepatocyte 4,2.88041971916801,319,0,1,8.64125915750402,2
AIH,Hepatocyte 4,Ig+ hepatocyte,0.483086862667376,52.5,0.248,0.778,1.01813876107738,2
AIH,Hepatocyte 4,IgG+ B cell,-2.61316049875532,34.5,1,0,-7.83948149626597,2
AIH,Hepatocyte 4,IgG+ plasmablast / plasma cell,-1.76609356478198,80,1,0,-5.29828069434594,2
AIH,Hepatocyte 4,IgM+ B cell,-3.013891415282,18,1,0,-9.04167424584601,2
AIH,Hepatocyte 4,Macrophage 1,-0.118000027759344,609.5,0.9625,0.0415,-0.128288831328953,2
AIH,Hepatocyte 4,Macrophage 2,-1.42460396596403,250.5,1,0,-4.2738118978921,2
AIH,Hepatocyte 4,Sinusoidal endothelial cell,0.23605598539029,247.5,0.399,0.613,0.882923995729275,2
AIH,Hepatocyte 4,Stellate cell,-1.23453656776483,274.5,1,0,-3.70360970329448,2
AIH,Hepatocyte 4,Vascular endothelial cell,-2.85991403975978,15,1,0,-8.57974211927936,2
AIH,Ig+ hepatocyte,Ig+ hepatocyte,2.68611881966193,52.5,0,1,8.05835645898579,2
AIH,Ig+ hepatocyte,IgG+ B cell,0.219010806188242,94,0.222,0.7965,0.332633071292927,2
AIH,Ig+ hepatocyte,IgG+ plasmablast / plasma cell,0.661633375499825,182.5,0,1,1.98490012649948,2
AIH,Ig+ hepatocyte,IgM+ B cell,-1.86298515054454,16.5,1,0,-5.58895545163361,2
AIH,Ig+ hepatocyte,Macrophage 1,-0.432336532802531,177,1,0,-1.29700959840759,2
AIH,Ig+ hepatocyte,Macrophage 2,-0.650722058006529,128,0.9955,0.00650000000000001,-1.79433148917327,2
AIH,Ig+ hepatocyte,Sinusoidal endothelial cell,-0.268314661906202,51,0.8425,0.1965,-0.409362407717665,2
