from_label,to_label,AIH_enrich,irHep_enrich,delta_enrichm,sig_aih_strict,sig_irh_strict,sig_aih_relaxed,sig_irh_relaxed,sig_category_strict,sig_category_relaxed,robust_count_strict,robust_count_relaxed
CD4+ T cell,CD8+ T cell 3,-0.344476052583371,0.293008730262015,0.637484782845386,TRUE,FALSE,TRUE,TRUE,AIH_only,both,1,2
Hepatocyte 2,Stellate cell,-0.981023843972697,-0.354244358377991,0.626779485594707,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD8+ T cell 2,CD8+ T cell 3,0.559951164996322,1.17986205074396,0.619910885747633,TRUE,TRUE,TRUE,TRUE,both,both,2,2
IgG+ plasmablast / plasma cell,Stellate cell,-0.173063871800146,0.419602535507569,0.592666407307714,TRUE,TRUE,TRUE,TRUE,both,both,2,2
IgM+ B cell,Macrophage 1,-0.908960761710405,-0.327692497449217,0.581268264261188,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD8+ T cell 1,CD8+ T cell 1,0.537267237339744,1.11363948285134,0.576372245511593,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD8+ T cell 1,CD8+ T cell 2,0.25872761864954,0.826050694717686,0.567323076068147,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Macrophage 1,Vascular endothelial cell,-1.35898221642509,-0.7922548036804,0.566727412744694,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Hepatocyte 4,Stellate cell,-1.23453656776483,-0.696055797857117,0.538480769907709,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Macrophage 1,Macrophage 1,0.956355192450877,1.48781454103679,0.531459348585913,TRUE,TRUE,TRUE,TRUE,both,both,2,2
IgG+ B cell,Macrophage 1,-1.30811475512696,-0.778099259101461,0.530015496025501,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD8+ T cell 2,IgM+ B cell,-2.24453263920264,-1.71866806837548,0.525864570827155,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD8+ T cell 2,Stellate cell,-1.31057914306697,-0.78600497749583,0.524574165571135,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Macrophage 2,Macrophage 2,0.883444927839862,1.4037488183823,0.520303890542438,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD8+ T cell 3,Macrophage 1,0.232127431650693,0.736470432702677,0.504343001051984,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD4+ T cell,Macrophage 2,0.373182956447851,0.874533155902912,0.501350199455061,TRUE,TRUE,TRUE,TRUE,both,both,2,2
IgG+ B cell,Macrophage 2,0.288502302297309,0.78391686933631,0.495414567039001,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD8+ T cell 2,IgG+ plasmablast / plasma cell,-1.95565201382409,-1.50054729509579,0.455104718728298,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Hepatocyte 4,IgM+ B cell,-3.01389141528201,-2.55891688433151,0.4549745309505,TRUE,TRUE,TRUE,TRUE,both,both,2,2
IgG+ B cell,Stellate cell,0.191304438946645,0.608632537072509,0.417328098125864,FALSE,TRUE,TRUE,TRUE,irHep_only,both,1,2
IgG+ plasmablast / plasma cell,Macrophage 2,0.154966482536336,0.563043189600219,0.408076707063882,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD8+ T cell 2,Macrophage 1,0.15826315060707,0.548047634032146,0.389784483425077,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD8+ T cell 1,IgG+ plasmablast / plasma cell,-0.196723367046932,0.183727349129888,0.38045071617682,TRUE,TRUE,TRUE,TRUE,both,both,2,2
IgM+ B cell,Macrophage 2,0.269716811773652,0.641276076168821,0.37155926439517,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Cholangiocyte,Macrophage 2,0.25406768693626,0.620053317925834,0.365985630989574,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Stellate cell,Vascular endothelial cell,0.525330530280835,0.876912999620758,0.351582469339923,TRUE,TRUE,TRUE,TRUE,both,both,2,2
IgG+ B cell,Sinusoidal endothelial cell,-1.94280797464272,-1.59876925832979,0.34403871631292,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Ig+ hepatocyte,IgG+ plasmablast / plasma cell,0.661633375499825,0.995666682510688,0.334033307010863,TRUE,TRUE,TRUE,FALSE,both,AIH_only,2,1
Cholangiocyte,Hepatocyte 4,-2.43189359238753,-2.1029145573827,0.328979035004823,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Hepatocyte 2,Sinusoidal endothelial cell,0.17717718381134,0.504437311843077,0.327260128031736,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD8+ T cell 1,Macrophage 1,0.359471734880733,0.686146358443827,0.326674623563094,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD4+ T cell,Cholangiocyte,-0.763427582642788,-0.455474557420063,0.307953025222726,TRUE,TRUE,TRUE,TRUE,both,both,2,2
IgG+ plasmablast / plasma cell,Macrophage 1,-0.391900000761765,-0.0850900830730769,0.306809917688688,TRUE,FALSE,TRUE,FALSE,AIH_only,AIH_only,1,1
IgG+ B cell,Vascular endothelial cell,0.691963293518027,0.984892817103223,0.292929523585196,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Hepatocyte 1,Macrophage 2,-1.47015079875477,-1.18252259838886,0.28762820036591,TRUE,TRUE,TRUE,TRUE,both,both,2,2
IgM+ B cell,Vascular endothelial cell,0.656180316120919,0.90922378520596,0.253043469085042,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Hepatocyte 1,Sinusoidal endothelial cell,0.332805280287213,0.557625218627911,0.224819938340697,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Cholangiocyte,Hepatocyte 2,-1.8636299196163,-1.67124519085573,0.192384728760565,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Cholangiocyte,Hepatocyte 1,-1.84420543636306,-1.65611263305158,0.18809280331148,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Macrophage 1,Stellate cell,-0.218520267454618,-0.0370500143013545,0.181470253153263,TRUE,TRUE,TRUE,FALSE,both,AIH_only,2,1
IgM+ B cell,Stellate cell,0.128909336574685,0.302229157281652,0.173319820706967,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Hepatocyte 3,Sinusoidal endothelial cell,0.157788529085536,0.328425723401132,0.170637194315596,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Hepatocyte 3,Stellate cell,-0.67084157214041,-0.502778184776587,0.168063387363823,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Hepatocyte 2,Macrophage 2,-1.24212039932745,-1.0789364038037,0.16318399552375,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD8+ T cell 3,CD8+ T cell 3,2.46573651088505,2.61960612531475,0.153869614429695,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Cholangiocyte,Stellate cell,-0.469298207495507,-0.336831180837288,0.132467026658218,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD4+ T cell,Ig+ hepatocyte,-0.929496194507396,-0.799267048741156,0.130229145766241,TRUE,FALSE,TRUE,FALSE,AIH_only,AIH_only,1,1
Macrophage 2,Vascular endothelial cell,0.208689295756601,0.3356316250393,0.126942329282699,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Hepatocyte 4,IgG+ plasmablast / plasma cell,-1.76609356478198,-1.63916294845094,0.126930616331036,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Hepatocyte 4,Sinusoidal endothelial cell,0.23605598539029,0.340176785488382,0.104120800098091,TRUE,TRUE,TRUE,FALSE,both,AIH_only,2,1
CD4+ T cell,CD8+ T cell 2,-1.65325367626418,-1.56036768151138,0.0928859947527949,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Macrophage 2,Stellate cell,0.187771589533075,0.274333248198543,0.086561658665468,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Hepatocyte 4,Hepatocyte 4,2.88041971916801,2.96214582319472,0.0817261040267101,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Hepatocyte 2,Ig+ hepatocyte,0.587000179071029,0.665065300425019,0.0780651213539898,TRUE,FALSE,TRUE,FALSE,AIH_only,AIH_only,1,1
CD8+ T cell 2,CD8+ T cell 2,1.81717994469157,1.8805241352003,0.0633441905087302,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD8+ T cell 1,Stellate cell,-0.0467274791310063,-0.0546220001334451,-0.00789452100243881,TRUE,FALSE,TRUE,FALSE,AIH_only,AIH_only,1,1
IgG+ B cell,IgG+ B cell,2.41924569501655,2.38524124524048,-0.0340044497760701,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD8+ T cell 3,IgG+ plasmablast / plasma cell,-0.291862789229376,-0.337914437741426,-0.0460516485120495,TRUE,FALSE,TRUE,FALSE,AIH_only,AIH_only,1,1
CD4+ T cell,Vascular endothelial cell,0.603157587819557,0.555214793249999,-0.0479427945695575,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD4+ T cell,Stellate cell,0.14854947798053,0.0973953868436441,-0.0511540911368859,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Ig+ hepatocyte,Macrophage 1,-0.432336532802531,-0.484638680361589,-0.0523021475590575,TRUE,FALSE,TRUE,FALSE,AIH_only,AIH_only,1,1
Hepatocyte 2,IgM+ B cell,-2.95842107585201,-3.01443029987639,-0.0560092240243799,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Cholangiocyte,IgG+ B cell,-0.201545920922311,-0.30437709485691,-0.102831173934599,TRUE,FALSE,TRUE,FALSE,AIH_only,AIH_only,1,1
CD8+ T cell 3,IgM+ B cell,-0.438307806373582,-0.544536916753309,-0.106229110379727,TRUE,FALSE,TRUE,TRUE,AIH_only,both,1,2
CD4+ T cell,Macrophage 1,-0.598601784593009,-0.707922868675006,-0.109321084081998,TRUE,FALSE,TRUE,TRUE,AIH_only,both,1,2
Cholangiocyte,Vascular endothelial cell,-0.13514551694713,-0.245449168228327,-0.110303651281197,FALSE,FALSE,TRUE,FALSE,neither,AIH_only,0,1
CD8+ T cell 3,Ig+ hepatocyte,-0.267479956891357,-0.383105054498898,-0.115625097607541,FALSE,FALSE,FALSE,FALSE,neither,neither,0,0
Hepatocyte 3,IgG+ B cell,-0.874297168274332,-1.00345542395381,-0.129158255679478,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Stellate cell,Stellate cell,0.986109193863842,0.856389390716513,-0.12971980314733,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD8+ T cell 3,Stellate cell,-0.265670888722067,-0.413393428890726,-0.14772254016866,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Cholangiocyte,IgM+ B cell,-0.677737378543017,-0.846645555015425,-0.168908176472409,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Cholangiocyte,Sinusoidal endothelial cell,-2.33167239992508,-2.55811873596538,-0.2264463360403,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Vascular endothelial cell,Vascular endothelial cell,3.33310442202902,3.04318858538718,-0.28991583664185,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Hepatocyte 4,Ig+ hepatocyte,0.483086862667376,0.160419635555382,-0.322667227111994,TRUE,FALSE,TRUE,FALSE,AIH_only,AIH_only,1,1
CD8+ T cell 1,Hepatocyte 4,-0.360851622030971,-0.694785505219849,-0.333933883188879,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Macrophage 2,Sinusoidal endothelial cell,-0.502162070716301,-0.90715562407902,-0.40499355336272,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Hepatocyte 4,Macrophage 1,-0.118000027759344,-0.524189262890858,-0.406189235131514,TRUE,TRUE,FALSE,TRUE,both,irHep_only,2,1
Hepatocyte 1,IgM+ B cell,-3.10997252639707,-3.52197514982501,-0.41200262342794,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Hepatocyte 1,IgG+ plasmablast / plasma cell,-1.60520166900994,-2.05028363446806,-0.445081965458125,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Hepatocyte 1,Macrophage 1,-0.0207214075674308,-0.479135350161998,-0.458413942594567,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Hepatocyte 2,Macrophage 1,-0.158260426179111,-0.665211071685141,-0.50695064550603,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD8+ T cell 1,Hepatocyte 2,-0.300741888759609,-0.824873658833968,-0.524131770074359,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD8+ T cell 2,Ig+ hepatocyte,0.243178232760756,-0.294043438983659,-0.537221671744414,TRUE,FALSE,TRUE,FALSE,AIH_only,AIH_only,1,1
CD8+ T cell 1,Hepatocyte 1,-0.154319949378552,-0.693469869860577,-0.539149920482025,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Hepatocyte 3,Macrophage 1,-0.363936148897747,-0.92120745210851,-0.557271303210764,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD8+ T cell 3,Hepatocyte 4,1.37925968502184,0.816675944176987,-0.562583740844857,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Hepatocyte 3,Macrophage 2,-0.344863338889303,-0.918994865336969,-0.574131526447666,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD8+ T cell 1,Hepatocyte 3,-0.341549678174711,-0.921369009469909,-0.579819331295199,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Sinusoidal endothelial cell,Stellate cell,0.331788637191277,-0.290490911077838,-0.622279548269114,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Hepatocyte 3,Hepatocyte 4,0.795428796826392,0.151112121256822,-0.644316675569569,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Hepatocyte 3,Vascular endothelial cell,-1.42670660680372,-2.08679375036743,-0.66008714356371,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Hepatocyte 1,Hepatocyte 3,0.98965978902739,0.321995986692042,-0.667663802335349,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Macrophage 1,Sinusoidal endothelial cell,0.267694820375253,-0.492109701053886,-0.759804521429139,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD8+ T cell 2,Sinusoidal endothelial cell,0.143038857013058,-0.658588127398001,-0.801626984411058,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Hepatocyte 2,IgG+ plasmablast / plasma cell,-2.0752455876393,-2.89363027391488,-0.81838468627558,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Sinusoidal endothelial cell,Vascular endothelial cell,-1.47918858049157,-2.31800530790336,-0.83881672741179,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Hepatocyte 1,Hepatocyte 4,1.37485954501394,0.505292710106378,-0.869566834907563,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Cholangiocyte,Ig+ hepatocyte,0.167674150497378,-0.731591495209917,-0.899265645707295,FALSE,FALSE,TRUE,FALSE,neither,AIH_only,0,1
Cholangiocyte,IgG+ plasmablast / plasma cell,-0.381041513071484,-1.29646417514406,-0.915422662072575,FALSE,FALSE,TRUE,FALSE,neither,AIH_only,0,1
CD8+ T cell 3,Hepatocyte 1,-0.0950742908276375,-1.04833258625212,-0.953258295424483,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD8+ T cell 3,Sinusoidal endothelial cell,-0.118584774044829,-1.07496944832685,-0.95638467428202,FALSE,TRUE,FALSE,TRUE,irHep_only,irHep_only,1,1
Ig+ hepatocyte,Sinusoidal endothelial cell,-0.268314661906202,-1.23724839351391,-0.968933731607705,TRUE,FALSE,TRUE,FALSE,AIH_only,AIH_only,1,1
Hepatocyte 4,Vascular endothelial cell,-2.85991403975979,-3.83038597138225,-0.970471931622465,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Sinusoidal endothelial cell,Sinusoidal endothelial cell,1.37995828761819,0.346772049145168,-1.03318623847302,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Hepatocyte 1,Hepatocyte 1,1.58089943690716,0.545804984979649,-1.03509445192751,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Cholangiocyte,Hepatocyte 3,-0.680907636864955,-1.72637809564771,-1.04547045878275,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD8+ T cell 1,Ig+ hepatocyte,-0.0869958289816404,-1.13256990235527,-1.04557407337363,TRUE,FALSE,TRUE,FALSE,AIH_only,AIH_only,1,1
Hepatocyte 1,Hepatocyte 2,1.50528537374547,0.441291411642169,-1.0639939621033,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Hepatocyte 2,Hepatocyte 3,1.66412606582897,0.592359475753928,-1.07176659007504,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD8+ T cell 3,Hepatocyte 2,-0.181196461533968,-1.25352222012068,-1.07232575858671,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD8+ T cell 1,Sinusoidal endothelial cell,0.305939419534385,-0.771347631789632,-1.07728705132402,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD8+ T cell 2,Hepatocyte 3,0.588122030103722,-0.57823117513981,-1.16635320524353,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Hepatocyte 2,Hepatocyte 2,1.79865596078144,0.600101773696503,-1.19855418708494,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Hepatocyte 3,Hepatocyte 3,2.29184969275287,1.08975381281082,-1.20209587994205,TRUE,TRUE,TRUE,TRUE,both,both,2,2
IgG+ plasmablast / plasma cell,Sinusoidal endothelial cell,-1.57422990396274,-2.7825625425578,-1.20833263859506,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD8+ T cell 2,Hepatocyte 1,1.28862288558525,0.0469247163422235,-1.24169816924303,TRUE,FALSE,TRUE,TRUE,AIH_only,both,1,2
CD8+ T cell 2,Hepatocyte 2,1.13942499044941,-0.105560739912694,-1.2449857303621,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Hepatocyte 2,Hepatocyte 4,1.28998310482517,0.0241989059278886,-1.26578419889729,TRUE,FALSE,TRUE,FALSE,AIH_only,AIH_only,1,1
