sample_id,n_cd4,n_close,frac_close,condition
18321_a,662,125,0.188821752265861,irHep
24774_d,927,201,0.216828478964401,irHep
54023_b,3687,560,0.151885001356116,AIH
56784_c,2437,855,0.350841198194501,AIH
